TaxonID	3847
MappingPopulation	KS4895_x_Jackson
Journal	Euphytica
Title	Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-1	Root nodule number
Nodule number 2-10	Root nodule number
Nodule number 2-2	Root nodule number
Nodule number 2-3	Root nodule number
Nodule number 2-4	Root nodule number
Nodule number 2-5	Root nodule number
Nodule number 2-6	Root nodule number
Nodule number 2-7	Root nodule number
Nodule number 2-8	Root nodule number
Nodule number 2-9	Root nodule number
Nodule size 1-1	Root Nodule Size
Nodule size 1-2	Root Nodule Size
Nodule size 1-3	Root Nodule Size
Nodule size 1-4	Root Nodule Size
Nodule size 1-5	Root Nodule Size
Nodule size 1-6	Root Nodule Size
Nodule size 1-7	Root Nodule Size
Nodule size 1-8	Root Nodule Size
Root nodule weight, dry 2-1	Root nodule weight, dry
Root nodule weight, dry 2-2	Root nodule weight, dry
Root nodule weight, dry 2-3	Root nodule weight, dry
Root nodule weight, dry 2-4	Root nodule weight, dry
Root nodule weight, dry 2-5	Root nodule weight, dry
Root nodule weight, dry 2-6	Root nodule weight, dry
Root nodule weight, dry 2-7	Root nodule weight, dry
Root nodule weight, dry 2-8	Root nodule weight, dry
Root nodule weight, dry 2-9	Root nodule weight, dry
