TaxonID	3847
MappingPopulation	Hefeng25_x_MapleArrow
Journal	Euphytica
Title	Identification of QTL underlying soluble pigment content in soybean stems related to resistance to soybean white mold (Sclerotinia sclerotiorum)
First flower 27-1	First flower
Node number 7-1	Root nodule number
Node number 7-2	Root nodule number
Node number 7-3	Root nodule number
Plant height 40-1	Plant Height
Plant height 40-2	Plant Height
Pod maturity 36-1	R8 Full Maturity
Pod number 11-1	Pods per plant
Pod number 11-2	Pods per plant
Pod number 11-3	Pods per plant
Pod number 11-4	Pods per plant
Seed number 7-1	Seed Number
Seed number 7-2	Seed Number
Seed oil 41-1	Seed oil content
Seed protein 42-1	Seed protein content
Seed weight 47-1	Seed weight per plant
Seed weight 47-2	Seed weight per plant
Seed weight 47-3	Seed weight per plant
