TaxonID	3847
MappingPopulation	SD02-4-59_x_A02-381100
Journal	Euphytica
Title	Quantitative trait locus analysis of seed sulfur-containing amino acids in two recombinant inbred line populations of soybean
Seed Cys 3-1	Seed cysteine content
Seed Cys 3-2	Seed cysteine content
Seed Cys 3-3	Seed cysteine content
Seed Cys 3-4	Seed cysteine content
Seed Cys 3-5	Seed cysteine content
Seed Cys 3-6	Seed cysteine content
Seed Cys 3-7	Seed cysteine content
Seed Cys 3-8	Seed cysteine content
Seed Met 3-1	Seed methionine content
Seed Met 3-2	Seed methionine content
Seed Met 3-3	Seed methionine content
Seed Met 3-4	Seed methionine content
Seed Met 3-5	Seed methionine content
Seed Met 3-6	Seed methionine content
Seed Met 3-7	Seed methionine content
Seed Met 3-8	Seed methionine content
