TaxonID	3847
MappingPopulation	Wyandot_x_PI567301B
Journal	Euphytica
Title	SNP markers linked to QTL conditioning plant height, lodging, and maturity in soybean
Lodging 28-1	Lodging
Lodging 28-2	Lodging
Lodging 28-3	Lodging
Lodging 28-4	Lodging
Lodging 28-5	Lodging
Plant height 38-1	Plant Height
Plant height 38-2	Plant Height
Plant height 38-3	Plant Height
Plant height 38-4	Plant Height
Plant height 38-5	Plant Height
Plant height 38-6	Plant Height
Plant height 38-7	Plant Height
Pod maturity 35-1	R8 Full Maturity
Pod maturity 35-2	R8 Full Maturity
Pod maturity 35-3	R8 Full Maturity
