TaxonID	3847
MappingPopulation	Embrapa20_x_BRS133
Journal	Field Crops Research
Title	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-1	Root nodule number
Nodule number 3-2	Root nodule number
Nodule number 3-3	Root nodule number
Nodule number 3-4	Root nodule number
Nodule number 3-5	Root nodule number
Nodule number 3-6	Root nodule number
Nodule number 3-7	Root nodule number
Nodule weight per plant, dry 1-1	Root nodule weight, dry
Nodule weight per plant, dry 1-10	Root nodule weight, dry
Nodule weight per plant, dry 1-11	Root nodule weight, dry
Nodule weight per plant, dry 1-12	Root nodule weight, dry
Nodule weight per plant, dry 1-2	Root nodule weight, dry
Nodule weight per plant, dry 1-3	Root nodule weight, dry
Nodule weight per plant, dry 1-4	Root nodule weight, dry
Nodule weight per plant, dry 1-5	Root nodule weight, dry
Nodule weight per plant, dry 1-6	Root nodule weight, dry
Nodule weight per plant, dry 1-7	Root nodule weight, dry
Nodule weight per plant, dry 1-8	Root nodule weight, dry
Nodule weight per plant, dry 1-9	Root nodule weight, dry
Nodule weight, dry 1-1	Root nodule weight, dry
Nodule weight, dry 1-2	Root nodule weight, dry
Nodule weight, dry 1-3	Root nodule weight, dry
Shoot weight, dry 5-1	shoot weight, dry
Shoot weight, dry 5-2	shoot weight, dry
Shoot weight, dry 5-3	shoot weight, dry
Shoot weight, dry 5-4	shoot weight, dry
