TaxonID	3847
MappingPopulation	Essex_x_Forrest
Title	Genetic Analysis of Soybean Plant Height, Hypocotyl and Internode Lengths
Hypocotyl length 2-1	Hypocotyl Length
Hypocotyl length 2-2	Hypocotyl Length
Internode length 1-1	Internode length
Internode length 1-10	Internode length
Internode length 1-11	Internode length
Internode length 1-12	Internode length
Internode length 1-13	Internode length
Internode length 1-14	Internode length
Internode length 1-15	Internode length
Internode length 1-16	Internode length
Internode length 1-2	Internode length
Internode length 1-3	Internode length
Internode length 1-4	Internode length
Internode length 1-5	Internode length
Internode length 1-6	Internode length
Internode length 1-7	Internode length
Internode length 1-8	Internode length
Internode length 1-9	Internode length
Plant height 27-1	Plant Height
Plant height 27-2	Plant Height
