TaxonID	3847
MappingPopulation	Essex_x_PI437654
Title	Genetic control of soybean seed isoflavone content: importance of statistical model and epistasis in complex traits
Seed daidzein 7-1	Seed daidzein content
Seed daidzein 7-2	Seed daidzein content
Seed daidzein 7-3	Seed daidzein content
Seed daidzein 7-4	Seed daidzein content
Seed daidzein 7-5	Seed daidzein content
Seed daidzein 7-6	Seed daidzein content
Seed genistein 7-1	Seed genistein content
Seed genistein 7-2	Seed genistein content
Seed genistein 7-3	Seed genistein content
Seed genistein 7-4	Seed genistein content
Seed genistein 7-5	Seed genistein content
Seed genistein 7-6	Seed genistein content
Seed genistein 7-7	Seed genistein content
Seed glycitein 7-1	Seed glycitein content
Seed glycitein 7-2	Seed glycitein content
Seed glycitein 7-3	Seed glycitein content
Seed glycitein 7-4	Seed glycitein content
Seed glycitein 7-5	Seed glycitein content
Seed glycitein 7-6	Seed glycitein content
Seed isoflavone 6-1	Seed isoflavone content
Seed isoflavone 6-2	Seed isoflavone content
Seed isoflavone 6-3	Seed isoflavone content
Seed isoflavone 6-4	Seed isoflavone content
Seed isoflavone 6-5	Seed isoflavone content
Seed isoflavone 6-6	Seed isoflavone content
Seed isoflavone 6-7	Seed isoflavone content
