TaxonID	3847
MappingPopulation	OACWallace_x_OACGlencoe
Title	Genetic control of soybean seed oil: I. QTL and genes associated with seed oil concentration in RIL populations derived from crossing moderately high-oil parents
Seed oil 37-1	Seed oil content
Seed oil 37-10	Seed oil content
Seed oil 37-11	Seed oil content
Seed oil 37-2	Seed oil content
Seed oil 37-3	Seed oil content
Seed oil 37-4	Seed oil content
Seed oil 37-5	Seed oil content
Seed oil 37-6	Seed oil content
Seed oil 37-7	Seed oil content
Seed oil 37-8	Seed oil content
Seed oil 37-9	Seed oil content
