TaxonID	3847
MappingPopulation	OACWallace_x_OACGlencoe
Title	Genetic control of soybean seed oil: II. QTL and genes that increase oil concentration without decreasing protein or with increased seed yield
Plant height 36-1	Plant Height
Pod maturity 30-1	R8 Full Maturity
Seed protein 33-1	Seed protein content
Seed protein 33-2	Seed protein content
Seed protein 33-3	Seed protein content
Seed protein 33-4	Seed protein content
Seed protein 33-5	Seed protein content
Seed weight 41-1	Seed weight per plant
Seed weight 41-2	Seed weight per plant
Seed yield 29-1	Seed yield
Seed yield 29-2	Seed yield
