TaxonID	3847
MappingPopulation	Noir1_x_Minsoy
Title	Genetic mapping of seed shape in three populations of recombinant inbred lines of soybean (Glycine max L. Merr.)
Seed height 1-1	Seed height
Seed height 1-10	Seed height
Seed height 1-11	Seed height
Seed height 1-12	Seed height
Seed height 1-13	Seed height
Seed height 1-14	Seed height
Seed height 1-2	Seed height
Seed height 1-3	Seed height
Seed height 1-4	Seed height
Seed height 1-5	Seed height
Seed height 1-6	Seed height
Seed height 1-7	Seed height
Seed height 1-8	Seed height
Seed height 1-9	Seed height
Seed length 1-1	Seed width
Seed length 1-10	Seed width
Seed length 1-11	Seed width
Seed length 1-12	Seed width
Seed length 1-13	Seed width
Seed length 1-14	Seed width
Seed length 1-15	Seed width
Seed length 1-16	Seed width
Seed length 1-2	Seed width
Seed length 1-3	Seed width
Seed length 1-4	Seed width
Seed length 1-5	Seed width
Seed length 1-6	Seed width
Seed length 1-7	Seed width
Seed length 1-8	Seed width
Seed length 1-9	Seed width
Seed volume 1-1	Seed size
Seed volume 1-10	Seed size
Seed volume 1-11	Seed size
Seed volume 1-2	Seed size
Seed volume 1-3	Seed size
Seed volume 1-4	Seed size
Seed volume 1-5	Seed size
Seed volume 1-6	Seed size
Seed volume 1-7	Seed size
Seed volume 1-8	Seed size
Seed volume 1-9	Seed size
Seed width 1-1	Seed width
Seed width 1-10	Seed width
Seed width 1-11	Seed width
Seed width 1-12	Seed width
Seed width 1-13	Seed width
Seed width 1-2	Seed width
Seed width 1-3	Seed width
Seed width 1-4	Seed width
Seed width 1-5	Seed width
Seed width 1-6	Seed width
Seed width 1-7	Seed width
Seed width 1-8	Seed width
Seed width 1-9	Seed width
