TaxonID	3847
MappingPopulation	KF1_x_NN1138-2
Title	Genetic structure composed of additive QTL, epistatic QTL pairs and collective unmapped minor QTL conferring oil content and fatty acid components of soybeans
Seed linoleic 5-1	Seed linoleic acid content
Seed linoleic 5-2	Seed linoleic acid content
Seed linoleic 5-3	Seed linoleic acid content
Seed linolenic 6-1	Seed linolenic acid content
Seed linolenic 6-2	Seed linolenic acid content
Seed linolenic 6-3	Seed linolenic acid content
Seed linolenic 6-4	Seed linolenic acid content
Seed linolenic 6-5	Seed linolenic acid content
Seed linolenic 6-6	Seed linolenic acid content
Seed linolenic 6-7	Seed linolenic acid content
Seed oil 29-1	Seed oil content
Seed oil 29-2	Seed oil content
Seed oil 29-3	Seed oil content
Seed oleic 5-1	Seed oleic acid content
Seed oleic 5-2	Seed oleic acid content
Seed oleic 5-3	Seed oleic acid content
Seed palmitic 6-1	Seed palmitic acid content
Seed palmitic 6-2	Seed palmitic acid content
Seed palmitic 6-3	Seed palmitic acid content
Seed palmitic 6-4	Seed palmitic acid content
Seed palmitic 6-5	Seed palmitic acid content
Seed palmitic 6-6	Seed palmitic acid content
Seed stearic 5-1	Seed stearic acid content
Seed stearic 5-2	Seed stearic acid content
Seed stearic 5-3	Seed stearic acid content
Seed stearic 5-4	Seed stearic acid content
Seed stearic 5-5	Seed stearic acid content
