TaxonID	3847
MappingPopulation	Jiyu50_x_Jinong18
Journal	Genetics and Molecular Research
Title	Analysis of quantitative trait loci for main plant traits in soybean
Branching 4-1	Branching
Branching 4-2	Branching
Branching 4-3	Branching
Branching 4-4	Branching
Node number 6-1	Root nodule number
Plant height 37-1	Plant Height
Plant height 37-2	Plant Height
Plant height 37-3	Plant Height
Plant height 37-4	Plant Height
Plant height 37-5	Plant Height
Plant height 37-6	Plant Height
Plant height 37-7	Plant Height
Plant height 37-8	Plant Height
Plant height 37-9	Plant Height
Pod maturity 34-1	R8 Full Maturity
Pod maturity 34-2	R8 Full Maturity
Pod maturity 34-3	R8 Full Maturity
Pod maturity 34-4	R8 Full Maturity
Pod maturity 34-5	R8 Full Maturity
Pod maturity 34-6	R8 Full Maturity
Pod maturity 34-7	R8 Full Maturity
Seed weight per plant 6-1	Seed weight per plant
Seed weight per plant 6-2	Seed weight per plant
Seed weight per plant 6-3	Seed weight per plant
Seed weight per plant 6-4	Seed weight per plant
Seed weight per plant 6-5	Seed weight per plant
Seed weight per plant 6-6	Seed weight per plant
Seed weight per plant 6-7	Seed weight per plant
Seed weight per plant 6-8	Seed weight per plant
Seed weight per plant 6-9	Seed weight per plant
