TaxonID	3847
MappingPopulation	Charleston_x_DongNong594
Journal	Heredity
Title	QTL analyses of seed weight during the development of soybean (Glycine max L. Merr.)
Seed weight 49-1	Seed weight per plant
Seed weight 49-10	Seed weight per plant
Seed weight 49-11	Seed weight per plant
Seed weight 49-12	Seed weight per plant
Seed weight 49-13	Seed weight per plant
Seed weight 49-14	Seed weight per plant
Seed weight 49-15	Seed weight per plant
Seed weight 49-2	Seed weight per plant
Seed weight 49-3	Seed weight per plant
Seed weight 49-4	Seed weight per plant
Seed weight 49-5	Seed weight per plant
Seed weight 49-6	Seed weight per plant
Seed weight 49-7	Seed weight per plant
Seed weight 49-8	Seed weight per plant
Seed weight 49-9	Seed weight per plant
