TaxonID	3847
MappingPopulation	Zhongdou27_x_Jiunong20
Title	Identification of QTL underlying isoflavone contents in soybean seeds among multiple environments
Seed daidzein 3-1	Seed daidzein content
Seed daidzein 3-2	Seed daidzein content
Seed daidzein 3-3	Seed daidzein content
Seed genistein 3-1	Seed genistein content
Seed genistein 3-2	Seed genistein content
Seed genistein 3-3	Seed genistein content
Seed genistein 3-4	Seed genistein content
Seed glycitein 3-1	Seed glycitein content
Seed glycitein 3-2	Seed glycitein content
Seed glycitein 3-3	Seed glycitein content
Seed isoflavone 2-1	Seed isoflavone content
Seed isoflavone 2-2	Seed isoflavone content
Seed isoflavone 2-3	Seed isoflavone content
Seed isoflavone 2-4	Seed isoflavone content
Seed isoflavone 2-5	Seed isoflavone content
