TaxonID	3847
MappingPopulation	OACBayfield_x_Hefeng25
Title	Identification of QTL underlying vitamin E contents in soybean seed among multiple environments
Seed tocopherol, alpha 1-1	Seed alpha-tocopherol content
Seed tocopherol, alpha 1-2	Seed alpha-tocopherol content
Seed tocopherol, alpha 1-3	Seed alpha-tocopherol content
Seed tocopherol, alpha 1-4	Seed alpha-tocopherol content
Seed tocopherol, delta 1-1	Seed delta-tocopherol content
Seed tocopherol, delta 1-2	Seed delta-tocopherol content
Seed tocopherol, delta 1-3	Seed delta-tocopherol content
Seed tocopherol, delta 1-4	Seed delta-tocopherol content
Seed tocopherol, gamma 1-1	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-2	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-3	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-4	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-5	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-6	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-7	Seed gamma-tocopherol content
Seed tocopherol, gamma 1-8	Seed gamma-tocopherol content
Seed tocopherol, total 1-1	Seed gamma-tocopherol content
Seed tocopherol, total 1-2	Seed gamma-tocopherol content
Seed tocopherol, total 1-3	Seed gamma-tocopherol content
Seed tocopherol, total 1-4	Seed gamma-tocopherol content
Seed tocopherol, total 1-5	Seed gamma-tocopherol content
