TaxonID	3847
MappingPopulation	Nannong94-156_x_Bogao
Title	Identification of genomic regions determining flower and pod numbers development in soybean (Glycine max L)
Flower number 1-1	Flower Number
Flower number 1-10	Flower Number
Flower number 1-11	Flower Number
Flower number 1-12	Flower Number
Flower number 1-2	Flower Number
Flower number 1-3	Flower Number
Flower number 1-4	Flower Number
Flower number 1-5	Flower Number
Flower number 1-6	Flower Number
Flower number 1-7	Flower Number
Flower number 1-8	Flower Number
Flower number 1-9	Flower Number
Pod number 1-1	Pods per plant
Pod number 1-10	Pods per plant
Pod number 1-2	Pods per plant
Pod number 1-3	Pods per plant
Pod number 1-4	Pods per plant
Pod number 1-5	Pods per plant
Pod number 1-6	Pods per plant
Pod number 1-7	Pods per plant
Pod number 1-8	Pods per plant
Pod number 1-9	Pods per plant
