TaxonID	3847
MappingPopulation	Williams82_x_PI90566-1
Title	Identification of positive yield QTL alleles from exotic soybean germplasm in two backcross populations
Lodging 25-1	Lodging
Lodging 25-2	Lodging
Lodging 25-3	Lodging
Lodging 25-4	Lodging
Lodging 26-1	Lodging
Lodging 26-2	Lodging
Lodging 26-3	Lodging
Lodging 26-4	Lodging
Plant height 33-1	Plant Height
Plant height 33-2	Plant Height
Plant height 33-3	Plant Height
Plant height 33-4	Plant Height
Plant height 33-5	Plant Height
Plant height 33-6	Plant Height
Plant height 33-7	Plant Height
Plant height 33-8	Plant Height
Plant height 34-1	Plant Height
Plant height 34-2	Plant Height
Plant height 34-3	Plant Height
Plant height 34-4	Plant Height
Plant height 34-5	Plant Height
Plant height 34-6	Plant Height
Plant height 34-7	Plant Height
Plant height 34-8	Plant Height
Pod maturity 27-1	R8 Full Maturity
Pod maturity 27-2	R8 Full Maturity
Pod maturity 27-3	R8 Full Maturity
Pod maturity 27-4	R8 Full Maturity
Pod maturity 27-5	R8 Full Maturity
Pod maturity 27-6	R8 Full Maturity
Pod maturity 27-7	R8 Full Maturity
Pod maturity 27-8	R8 Full Maturity
Pod maturity 29-1	R8 Full Maturity
Pod maturity 29-2	R8 Full Maturity
Pod maturity 29-3	R8 Full Maturity
Pod maturity 29-4	R8 Full Maturity
Pod maturity 29-5	R8 Full Maturity
Pod maturity 29-6	R8 Full Maturity
Pod maturity 29-7	R8 Full Maturity
Pod maturity 29-8	R8 Full Maturity
Seed yield 27-1	Seed yield
Seed yield 27-2	Seed yield
Seed yield 27-3	Seed yield
Seed yield 27-4	Seed yield
Seed yield 30-1	Seed yield
Seed yield 30-2	Seed yield
Seed yield 30-3	Seed yield
Seed yield 30-4	Seed yield
