TaxonID	3847
MappingPopulation	KefengNo.1_x_Nannong1138-2
Journal	Journal of Agricultural and Food Chemistry
Title	Quantitative Trait Loci (QTL) Mapping for Glycinin and beta-Conglycinin Contents in Soybean (Glycine max L. Merr.)
Seed conglycinin, beta 2-1	Seed beta conglycinin protein fraction
Seed conglycinin, beta 2-2	Seed beta conglycinin protein fraction
Seed conglycinin, beta 2-3	Seed beta conglycinin protein fraction
Seed conglycinin, beta 2-4	Seed beta conglycinin protein fraction
Seed conglycinin, beta 2-5	Seed beta conglycinin protein fraction
Seed conglycinin, beta 2-6	Seed beta conglycinin protein fraction
Seed conglycinin, beta 2-7	Seed beta conglycinin protein fraction
Seed glycinin 2-2	Seed glycinin content
Seed glycinin 2-3	Seed glycinin content
Seed glycinin 2-4	Seed glycinin content
Seed glycinin 2-5	Seed glycinin content
Seed glycinin 2-6	Seed glycinin content
Seed glycinin 2-7	Seed glycinin content
Seed glycinin plus beta-conglycinin 1-1	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-10	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-11	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-12	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-2	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-3	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-4	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-5	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-6	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-7	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-8	Seed glycinin and beta-conglycinin content
Seed glycinin plus beta-conglycinin 1-9	Seed glycinin and beta-conglycinin content
Seed glycinin to beta-conglycinin ratio 1-1	Seed glycinin to beta-conglycinin ratio
Seed glycinin to beta-conglycinin ratio 1-2	Seed glycinin to beta-conglycinin ratio
Seed glycinin to beta-conglycinin ratio 1-3	Seed glycinin to beta-conglycinin ratio
Seed glycinin to beta-conglycinin ratio 1-4	Seed glycinin to beta-conglycinin ratio
Seed glycinin to beta-conglycinin ratio 1-5	Seed glycinin to beta-conglycinin ratio
Seed glycinin to beta-conglycinin ratio 1-6	Seed glycinin to beta-conglycinin ratio
Seed glycinin to beta-conglycinin ratio 1-7	Seed glycinin to beta-conglycinin ratio
