TaxonID	3847
MappingPopulation	KefengNo.1_x_Nannong1138-2
Journal	Journal of Intergrative Plant Biology
Title	Detection and fine-mapping of Soybean mosaic virus resistance genes via linkage and association analysis in soybean
Soybean mosaic virus 1-1	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-10	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-11	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-12	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-13	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-14	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-15	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-16	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-17	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-18	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-19	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-2	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-3	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-4	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-5	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-6	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-7	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-8	Reaction to Soybean Mosaic Virus Infection (SMV)
Soybean mosaic virus 1-9	Reaction to Soybean Mosaic Virus Infection (SMV)
