TaxonID	3847
MappingPopulation	Magellan_x_PI437654
Title	Major locus and other novel additive and epistatic loci involved in modulation of isoflavone concentration in soybean seeds
Seed daidzein 5-1	Seed daidzein content
Seed daidzein 5-2	Seed daidzein content
Seed daidzein 5-3	Seed daidzein content
Seed genistein 5-1	Seed genistein content
Seed genistein 5-2	Seed genistein content
Seed genistein 5-3	Seed genistein content
Seed genistein 5-4	Seed genistein content
Seed glycitein 5-1	Seed glycitein content
Seed glycitein 5-2	Seed glycitein content
Seed glycitein 5-3	Seed glycitein content
Seed isoflavone 3-1	Seed isoflavone content
Seed isoflavone 3-2	Seed isoflavone content
Seed isoflavone 3-3	Seed isoflavone content
Seed isoflavone 3-4	Seed isoflavone content
