TaxonID	3847
MappingPopulation	Keunolkong_x_Sinpaldalkong
Title	Mapping QTLs with epistatic effecs and QTL-by environment interactions for seed coat cracking in soybeans
Seed coat cracking 3-1	Seed coat cracking
Seed coat cracking 3-10	Seed coat cracking
Seed coat cracking 3-2	Seed coat cracking
Seed coat cracking 3-3	Seed coat cracking
Seed coat cracking 3-4	Seed coat cracking
Seed coat cracking 3-5	Seed coat cracking
Seed coat cracking 3-6	Seed coat cracking
Seed coat cracking 3-7	Seed coat cracking
Seed coat cracking 3-8	Seed coat cracking
Seed coat cracking 3-9	Seed coat cracking
