TaxonID	3847
MappingPopulation	Kefeng1_x_Nannon1138-2
Title	Mapping WTLs for seed yield and drought susceptiblity index in soybean (Glycine max L.) across different environments
Drought index 1-1	Drought Susceptibility Index
Drought index 1-10	Drought Susceptibility Index
Drought index 1-2	Drought Susceptibility Index
Drought index 1-3	Drought Susceptibility Index
Drought index 1-4	Drought Susceptibility Index
Drought index 1-5	Drought Susceptibility Index
Drought index 1-6	Drought Susceptibility Index
Drought index 1-7	Drought Susceptibility Index
Drought index 1-8	Drought Susceptibility Index
Drought index 1-9	Drought Susceptibility Index
Seed yield 22-1	Seed yield
Seed yield 22-10	Seed yield
Seed yield 22-11	Seed yield
Seed yield 22-12	Seed yield
Seed yield 22-13	Seed yield
Seed yield 22-14	Seed yield
Seed yield 22-15	Seed yield
Seed yield 22-16	Seed yield
Seed yield 22-17	Seed yield
Seed yield 22-18	Seed yield
Seed yield 22-19	Seed yield
Seed yield 22-2	Seed yield
Seed yield 22-3	Seed yield
Seed yield 22-4	Seed yield
Seed yield 22-5	Seed yield
Seed yield 22-6	Seed yield
Seed yield 22-7	Seed yield
Seed yield 22-8	Seed yield
Seed yield 22-9	Seed yield
