TaxonID	3847
MappingPopulation	N97-3363-3_x_PI423893
Title	Mapping and Comparison of Quantitative Trait Loci for Oleic Acid Seed Content in Two Segregating Soybean Populations
Pod maturity 24-1	R8 Full Maturity
Pod maturity 24-10	R8 Full Maturity
Pod maturity 24-11	R8 Full Maturity
Pod maturity 24-2	R8 Full Maturity
Pod maturity 24-3	R8 Full Maturity
Pod maturity 24-4	R8 Full Maturity
Pod maturity 24-5	R8 Full Maturity
Pod maturity 24-6	R8 Full Maturity
Pod maturity 24-7	R8 Full Maturity
Pod maturity 24-8	R8 Full Maturity
Pod maturity 24-9	R8 Full Maturity
Seed linoleic 6-1	Seed linoleic acid content
Seed linoleic 6-10	Seed linoleic acid content
Seed linoleic 6-2	Seed linoleic acid content
Seed linoleic 6-3	Seed linoleic acid content
Seed linoleic 6-4	Seed linoleic acid content
Seed linoleic 6-5	Seed linoleic acid content
Seed linoleic 6-6	Seed linoleic acid content
Seed linoleic 6-7	Seed linoleic acid content
Seed linoleic 6-8	Seed linoleic acid content
Seed linoleic 6-9	Seed linoleic acid content
Seed linolenic 7-1	Seed linolenic acid content
Seed linolenic 7-2	Seed linolenic acid content
Seed linolenic 7-3	Seed linolenic acid content
Seed linolenic 7-4	Seed linolenic acid content
Seed linolenic 7-5	Seed linolenic acid content
Seed linolenic 7-6	Seed linolenic acid content
Seed linolenic 7-7	Seed linolenic acid content
Seed oleic 6-1	Seed oleic acid content
Seed oleic 6-10	Seed oleic acid content
Seed oleic 6-11	Seed oleic acid content
Seed oleic 6-12	Seed oleic acid content
Seed oleic 6-2	Seed oleic acid content
Seed oleic 6-3	Seed oleic acid content
Seed oleic 6-4	Seed oleic acid content
Seed oleic 6-5	Seed oleic acid content
Seed oleic 6-6	Seed oleic acid content
Seed oleic 6-7	Seed oleic acid content
Seed oleic 6-8	Seed oleic acid content
Seed oleic 6-9	Seed oleic acid content
