TaxonID	3847
MappingPopulation	_x_
Journal	Molecular Breeding
Title	Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-001	Canopy wilt
mqCanopy wilt-002	Canopy wilt
mqCanopy wilt-003	Canopy wilt
mqCanopy wilt-005	Canopy wilt
mqCanopy wilt-006	Canopy wilt
mqCanopy wilt-007	Canopy wilt
mqCanopy wilt-008	Canopy wilt
mqCanopy wilt-009	Canopy wilt
mqCanopy wilt-010	Canopy wilt
mqCanopy wilt-011	Canopy wilt
mqCanopy wilt-012	Canopy wilt
mqCanopy wilt-013	Canopy wilt
mqCanopy wilt-014	Canopy wilt
mqCanopy wilt-015	Canopy wilt
mqCanopy wilt-016	Canopy wilt
mqCanopy wilt-017	Canopy wilt
mqCanopy wilt-018	Canopy wilt
mqCanopy wilt-019	Canopy wilt
mqCanopy wilt-020	Canopy wilt
mqCanopy wilt-021	Canopy wilt
mqCanopy wilt-022	Canopy wilt
mqCanopy wilt-023	Canopy wilt
mqCanopy wilt-024	Canopy wilt
mqCanopy wilt-025	Canopy wilt
mqCanopy wilt-026	Canopy wilt
mqCanopy wilt-027	Canopy wilt
