TaxonID	3847
MappingPopulation	Charleston_x_DongNong594
Journal	Molecular Genetics and Genomics
Title	Identification of QTLs for seed and pod traits in soybean and analysis for additive effects and epistatic effects of QTLs among multiple environments
Pod number 10-1	Pods per plant
Seed set, 1 per pod 1-1	Seed Set
Seed set, 2 or 3 per pod 1-1	Seed Set
Seed set, 2 per pod 1-1	Seed Set
Seed set, 3 per pod 1-1	Seed Set
Seed set, 3 per pod 1-2	Seed Set
Seed set, 4 per pod 1-1	Seed Set
Seed set, 4 per pod 1-2	Seed Set
Seed set, 4 per pod 1-3	Seed Set
Seed set, 4 per pod 1-4	Seed Set
Seed set, 4 per pod 1-5	Seed Set
Seed weight 46-1	Seed weight per plant
Seed weight 46-2	Seed weight per plant
