TaxonID	3847
MappingPopulation	Charleston_x_Dongnong594
Title	Multi-environment mapping and meta-analysis of 100-seed weight in soybean
Seed weight 37-1	Seed weight per plant
Seed weight 37-10	Seed weight per plant
Seed weight 37-11	Seed weight per plant
Seed weight 37-12	Seed weight per plant
Seed weight 37-2	Seed weight per plant
Seed weight 37-3	Seed weight per plant
Seed weight 37-4	Seed weight per plant
Seed weight 37-5	Seed weight per plant
Seed weight 37-6	Seed weight per plant
Seed weight 37-7	Seed weight per plant
Seed weight 37-8	Seed weight per plant
Seed weight 37-9	Seed weight per plant
