TaxonID	3847
MappingPopulation	Hwangkeum_x_IT182932
Title	Novel major quantitative trait loci regulating the content of isoflavone in soybean seeds
Seed daidzein 9-1	Seed daidzein content
Seed daidzein 9-2	Seed daidzein content
Seed genistein 9-1	Seed genistein content
Seed genistein 9-2	Seed genistein content
Seed genistein 9-3	Seed genistein content
Seed glycitein 9-1	Seed glycitein content
Seed glycitein 9-2	Seed glycitein content
Seed glycitein 9-3	Seed glycitein content
Seed glycitein 9-4	Seed glycitein content
Seed glycitein 9-5	Seed glycitein content
Seed glycitein 9-6	Seed glycitein content
Seed glycitein 9-7	Seed glycitein content
Seed glycitein 9-8	Seed glycitein content
Seed glycitein 9-9	Seed glycitein content
Seed weight 38-1	Seed weight per plant
Seed weight 38-2	Seed weight per plant
Seed weight 38-3	Seed weight per plant
