TaxonID	3847
MappingPopulation	OX20-8_x_PI398841
Title	Novel quantitative trait loci for partial resistance to Phytophthora sojae in soybean PI 398841
Phytoph 14-1	Reaction to Phytophthora sojae infection
Phytoph 14-10	Reaction to Phytophthora sojae infection
Phytoph 14-2	Reaction to Phytophthora sojae infection
Phytoph 14-3	Reaction to Phytophthora sojae infection
Phytoph 14-4	Reaction to Phytophthora sojae infection
Phytoph 14-5	Reaction to Phytophthora sojae infection
Phytoph 14-6	Reaction to Phytophthora sojae infection
Phytoph 14-7	Reaction to Phytophthora sojae infection
Phytoph 14-8	Reaction to Phytophthora sojae infection
Phytoph 14-9	Reaction to Phytophthora sojae infection
