TaxonID	3847
MappingPopulation	ZhongDou27_x_JiuNong20
Journal	PLoS One
Title	Mapping Isoflavone QTL with Main, Epistatic and QTL _ Environment Effects in Recombinant Inbred Lines of Soybean
Seed daidzein 11-1	Seed daidzein content
Seed daidzein 11-2	Seed daidzein content
Seed daidzein 11-3	Seed daidzein content
Seed daidzein 11-4	Seed daidzein content
Seed daidzein 11-5	Seed daidzein content
Seed daidzein 11-6	Seed daidzein content
Seed genistein 11-1	Seed genistein content
Seed genistein 11-10	Seed genistein content
Seed genistein 11-2	Seed genistein content
Seed genistein 11-3	Seed genistein content
Seed genistein 11-4	Seed genistein content
Seed genistein 11-5	Seed genistein content
Seed genistein 11-6	Seed genistein content
Seed genistein 11-7	Seed genistein content
Seed genistein 11-8	Seed genistein content
Seed genistein 11-9	Seed genistein content
Seed glycitein 11-1	Seed glycitein content
Seed glycitein 11-2	Seed glycitein content
Seed glycitein 11-3	Seed glycitein content
Seed glycitein 11-4	Seed glycitein content
Seed glycitein 11-5	Seed glycitein content
Seed glycitein 11-6	Seed glycitein content
Seed glycitein 11-7	Seed glycitein content
Seed total isoflavone 9-1	Seed isoflavone content
Seed total isoflavone 9-10	Seed isoflavone content
Seed total isoflavone 9-11	Seed isoflavone content
Seed total isoflavone 9-2	Seed isoflavone content
Seed total isoflavone 9-3	Seed isoflavone content
Seed total isoflavone 9-4	Seed isoflavone content
Seed total isoflavone 9-5	Seed isoflavone content
Seed total isoflavone 9-6	Seed isoflavone content
Seed total isoflavone 9-7	Seed isoflavone content
Seed total isoflavone 9-8	Seed isoflavone content
Seed total isoflavone 9-9	Seed isoflavone content
