TaxonID	3847
MappingPopulation	Bogao_x_Nannong94-156
Journal	Plant Breeding
Title	Identification of novel QTL for leaf traits in soybean
First flower 26-1	First flower
First flower 26-10	First flower
First flower 26-11	First flower
First flower 26-12	First flower
First flower 26-13	First flower
First flower 26-14	First flower
First flower 26-15	First flower
First flower 26-16	First flower
First flower 26-17	First flower
First flower 26-18	First flower
First flower 26-2	First flower
First flower 26-3	First flower
First flower 26-4	First flower
First flower 26-5	First flower
First flower 26-6	First flower
First flower 26-7	First flower
First flower 26-8	First flower
First flower 26-9	First flower
Leaflet area 9-1	Leaflet area
Leaflet area 9-10	Leaflet area
Leaflet area 9-2	Leaflet area
Leaflet area 9-3	Leaflet area
Leaflet area 9-4	Leaflet area
Leaflet area 9-5	Leaflet area
Leaflet area 9-6	Leaflet area
Leaflet area 9-7	Leaflet area
Leaflet area 9-8	Leaflet area
Leaflet area 9-9	Leaflet area
Leaflet shape 10-1	Leaflet shape
Leaflet shape 10-2	Leaflet shape
Leaflet shape 10-3	Leaflet shape
Leaflet shape 10-4	Leaflet shape
Leaflet shape 10-5	Leaflet shape
Leaflet shape 10-6	Leaflet shape
Leaflet shape 10-7	Leaflet shape
Leaflet weight, specific 2-1	Specific leaflet weight
Leaflet weight, specific 2-2	Specific leaflet weight
Leaflet weight, specific 2-3	Specific leaflet weight
Leaflet weight, specific 2-4	Specific leaflet weight
Leaflet weight, specific 2-5	Specific leaflet weight
Leaflet weight, specific 2-6	Specific leaflet weight
Leaflet weight, specific 2-7	Specific leaflet weight
Leaflet weight, specific 2-8	Specific leaflet weight
Leaflet weight, specific 2-9	Specific leaflet weight
Seed length 4-1	Seed width
Seed length 4-2	Seed width
Seed length 4-3	Seed width
Seed length 4-4	Seed width
Seed length 4-5	Seed width
Seed length 4-6	Seed width
Seed length 4-7	Seed width
Seed length 4-8	Seed width
Seed length to thickness ratio 1-1	Seed length to height ratio
Seed length to thickness ratio 1-2	Seed length to height ratio
Seed length to thickness ratio 1-3	Seed length to height ratio
Seed length to thickness ratio 1-4	Seed length to height ratio
Seed length to thickness ratio 1-5	Seed length to height ratio
Seed length to width ratio 1-1	Seed length to width ratio
Seed length to width ratio 1-10	Seed length to width ratio
Seed length to width ratio 1-11	Seed length to width ratio
Seed length to width ratio 1-12	Seed length to width ratio
Seed length to width ratio 1-13	Seed length to width ratio
Seed length to width ratio 1-14	Seed length to width ratio
Seed length to width ratio 1-15	Seed length to width ratio
Seed length to width ratio 1-16	Seed length to width ratio
Seed length to width ratio 1-2	Seed length to width ratio
Seed length to width ratio 1-3	Seed length to width ratio
Seed length to width ratio 1-4	Seed length to width ratio
Seed length to width ratio 1-5	Seed length to width ratio
Seed length to width ratio 1-6	Seed length to width ratio
Seed length to width ratio 1-7	Seed length to width ratio
Seed length to width ratio 1-8	Seed length to width ratio
Seed length to width ratio 1-9	Seed length to width ratio
Seed thickness 1-1	Seed height
Seed thickness 1-2	Seed height
Seed thickness 1-3	Seed height
Seed thickness 1-4	Seed height
Seed thickness 1-5	Seed height
Seed thickness 1-6	Seed height
Seed thickness 1-7	Seed height
Seed thickness 1-8	Seed height
Seed width 4-1	Seed width
Seed width 4-2	Seed width
Seed width 4-3	Seed width
Seed width 4-4	Seed width
Seed width 4-5	Seed width
Seed width 4-6	Seed width
Seed width 4-7	Seed width
Seed width 4-8	Seed width
Seed width 4-9	Seed width
Seed width to thickness ratio 1-1	Seed length to width ratio
Seed width to thickness ratio 1-2	Seed length to width ratio
Seed width to thickness ratio 1-3	Seed length to width ratio
Seed width to thickness ratio 1-4	Seed length to width ratio
Seed width to thickness ratio 1-5	Seed length to width ratio
Seed width to thickness ratio 1-6	Seed length to width ratio
