TaxonID	3847
MappingPopulation	DongNong46_x_KenJian23
Journal	Plant Breeding
Title	Identification of quantitative trait loci underlying seed protein and oil contents of soybean across multi-genetic backgrounds and environments
Seed oil 43-1	Seed oil content
Seed oil 43-10	Seed oil content
Seed oil 43-11	Seed oil content
Seed oil 43-12	Seed oil content
Seed oil 43-13	Seed oil content
Seed oil 43-14	Seed oil content
Seed oil 43-15	Seed oil content
Seed oil 43-16	Seed oil content
Seed oil 43-17	Seed oil content
Seed oil 43-18	Seed oil content
Seed oil 43-19	Seed oil content
Seed oil 43-2	Seed oil content
Seed oil 43-20	Seed oil content
Seed oil 43-21	Seed oil content
Seed oil 43-22	Seed oil content
Seed oil 43-23	Seed oil content
Seed oil 43-24	Seed oil content
Seed oil 43-25	Seed oil content
Seed oil 43-26	Seed oil content
Seed oil 43-27	Seed oil content
Seed oil 43-28	Seed oil content
Seed oil 43-29	Seed oil content
Seed oil 43-3	Seed oil content
Seed oil 43-30	Seed oil content
Seed oil 43-31	Seed oil content
Seed oil 43-32	Seed oil content
Seed oil 43-33	Seed oil content
Seed oil 43-34	Seed oil content
Seed oil 43-35	Seed oil content
Seed oil 43-4	Seed oil content
Seed oil 43-5	Seed oil content
Seed oil 43-6	Seed oil content
Seed oil 43-7	Seed oil content
Seed oil 43-8	Seed oil content
Seed oil 43-9	Seed oil content
Seed protein 36-1	Seed protein content
Seed protein 36-10	Seed protein content
Seed protein 36-11	Seed protein content
Seed protein 36-12	Seed protein content
Seed protein 36-13	Seed protein content
Seed protein 36-14	Seed protein content
Seed protein 36-15	Seed protein content
Seed protein 36-16	Seed protein content
Seed protein 36-17	Seed protein content
Seed protein 36-18	Seed protein content
Seed protein 36-19	Seed protein content
Seed protein 36-2	Seed protein content
Seed protein 36-20	Seed protein content
Seed protein 36-21	Seed protein content
Seed protein 36-22	Seed protein content
Seed protein 36-23	Seed protein content
Seed protein 36-24	Seed protein content
Seed protein 36-25	Seed protein content
Seed protein 36-26	Seed protein content
Seed protein 36-27	Seed protein content
Seed protein 36-28	Seed protein content
Seed protein 36-29	Seed protein content
Seed protein 36-3	Seed protein content
Seed protein 36-30	Seed protein content
Seed protein 36-31	Seed protein content
Seed protein 36-32	Seed protein content
Seed protein 36-33	Seed protein content
Seed protein 36-34	Seed protein content
Seed protein 36-35	Seed protein content
Seed protein 36-36	Seed protein content
Seed protein 36-37	Seed protein content
Seed protein 36-38	Seed protein content
Seed protein 36-39	Seed protein content
Seed protein 36-4	Seed protein content
Seed protein 36-40	Seed protein content
Seed protein 36-5	Seed protein content
Seed protein 36-6	Seed protein content
Seed protein 36-7	Seed protein content
Seed protein 36-8	Seed protein content
Seed protein 36-9	Seed protein content
