TaxonID	3847
MappingPopulation	Hefeng25_x_OACBayfield
Journal	Plant Breeding
Title	Mapping quantitative trait loci (QTLs) underlying seed vitamin E content in soybean with main, epistatic and QTL x environment effects
Seed tocopherol, alpha 2-1	Seed alpha-tocopherol content
Seed tocopherol, alpha 2-2	Seed alpha-tocopherol content
Seed tocopherol, alpha 2-3	Seed alpha-tocopherol content
Seed tocopherol, alpha 2-4	Seed alpha-tocopherol content
Seed tocopherol, delta 2-1	Seed delta-tocopherol content
Seed tocopherol, delta 2-2	Seed delta-tocopherol content
Seed tocopherol, delta 2-3	Seed delta-tocopherol content
Seed tocopherol, gamma 2-1	Seed gamma-tocopherol content
Seed tocopherol, gamma 2-2	Seed gamma-tocopherol content
Seed tocopherol, gamma 2-3	Seed gamma-tocopherol content
Seed tocopherol, gamma 2-4	Seed gamma-tocopherol content
Seed tocopherol, gamma 2-5	Seed gamma-tocopherol content
Seed tocopherol, gamma 2-6	Seed gamma-tocopherol content
Seed tocopherol, gamma 2-7	Seed gamma-tocopherol content
Seed tocopherol, total 2-1	Seed gamma-tocopherol content
Seed tocopherol, total 2-2	Seed gamma-tocopherol content
Seed tocopherol, total 2-3	Seed gamma-tocopherol content
Seed tocopherol, total 2-4	Seed gamma-tocopherol content
