TaxonID	3847
MappingPopulation	OACBayfield_x_OACShire
Journal	Plant Breeding
Title	Molecular mapping of soybean seed tocopherols in the cross OAC BayfieldÕ 3 OAC ShireÕ
Seed tocopherol, alpha 3-1	Seed alpha-tocopherol content
Seed tocopherol, alpha 3-2	Seed alpha-tocopherol content
Seed tocopherol, alpha 3-3	Seed alpha-tocopherol content
Seed tocopherol, alpha 3-4	Seed alpha-tocopherol content
Seed tocopherol, alpha 3-5	Seed alpha-tocopherol content
Seed tocopherol, alpha 3-6	Seed alpha-tocopherol content
Seed tocopherol, delta 3-1	Seed delta-tocopherol content
Seed tocopherol, delta 3-2	Seed delta-tocopherol content
Seed tocopherol, delta 3-3	Seed delta-tocopherol content
Seed tocopherol, delta 3-4	Seed delta-tocopherol content
Seed tocopherol, delta 3-5	Seed delta-tocopherol content
Seed tocopherol, delta 3-6	Seed delta-tocopherol content
Seed tocopherol, gamma 3-1	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-2	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-3	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-4	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-5	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-6	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-7	Seed gamma-tocopherol content
Seed tocopherol, gamma 3-8	Seed gamma-tocopherol content
Seed tocopherol, total 3-1	Seed gamma-tocopherol content
Seed tocopherol, total 3-2	Seed gamma-tocopherol content
Seed tocopherol, total 3-3	Seed gamma-tocopherol content
Seed tocopherol, total 3-4	Seed gamma-tocopherol content
Seed tocopherol, total 3-5	Seed gamma-tocopherol content
Seed tocopherol, total 3-6	Seed gamma-tocopherol content
