TaxonID	3847
MappingPopulation	KefengNo.1_x_Nannong1138-2
Journal	Planta
Title	Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence ABS/RC 1-1	Light energy absorbed per reaction center (ABS/RC)
Chlorophyll flourescence ABS/RC 1-2	Light energy absorbed per reaction center (ABS/RC)
Chlorophyll flourescence ETo/TRo 1-1	Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)
Chlorophyll flourescence ETo/TRo 1-2	Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)
Chlorophyll flourescence ETo/TRo 1-3	Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)
Chlorophyll flourescence PIabs 1-1	Performance index on absorption basis (PIabs)
Chlorophyll flourescence PIabs 1-2	Performance index on absorption basis (PIabs)
Chlorophyll flourescence PIabs 1-3	Performance index on absorption basis (PIabs)
Chlorophyll flourescence REo/Eto 1-1	Probability an electron reduces an end acceptor at PSI electron acceptor side
Chlorophyll flourescence REo/Eto 1-2	Probability an electron reduces an end acceptor at PSI electron acceptor side
Chlorophyll flourescence TRo/ABS 1-1	Flux ratio of trapping per absorption (TRo/ABS)
Chlorophyll flourescence TRo/ABS 1-2	Flux ratio of trapping per absorption (TRo/ABS)
Chlorophyll flourescence TRo/ABS 1-3	Flux ratio of trapping per absorption (TRo/ABS)
