TaxonID	3847
MappingPopulation	Lishuizhongzihuangdou_x_Nannong493-1
Title	QTL Analysis for Dynamic Expression of Chlorophyll Content in Soybean
Leaflet chlorophyll 1-1	Leaflet chlorophyll content
Leaflet chlorophyll 1-10	Leaflet chlorophyll content
Leaflet chlorophyll 1-11	Leaflet chlorophyll content
Leaflet chlorophyll 1-12	Leaflet chlorophyll content
Leaflet chlorophyll 1-13	Leaflet chlorophyll content
Leaflet chlorophyll 1-14	Leaflet chlorophyll content
Leaflet chlorophyll 1-15	Leaflet chlorophyll content
Leaflet chlorophyll 1-16	Leaflet chlorophyll content
Leaflet chlorophyll 1-2	Leaflet chlorophyll content
Leaflet chlorophyll 1-3	Leaflet chlorophyll content
Leaflet chlorophyll 1-4	Leaflet chlorophyll content
Leaflet chlorophyll 1-5	Leaflet chlorophyll content
Leaflet chlorophyll 1-6	Leaflet chlorophyll content
Leaflet chlorophyll 1-7	Leaflet chlorophyll content
Leaflet chlorophyll 1-8	Leaflet chlorophyll content
Leaflet chlorophyll 1-9	Leaflet chlorophyll content
