TaxonID	3847
MappingPopulation	Jinpumkong2_x_SS2-2
Title	QTL Identification of Yield-Related Traits and their Association with Flowering and Maturity in Soybean
Node number 4-1	Root nodule number
Node number 4-2	Root nodule number
Plant height 29-1	Plant Height
Plant height 29-2	Plant Height
Plant height 29-3	Plant Height
Plant height 29-4	Plant Height
Pod number 5-1	Pods per plant
Pod number 5-2	Pods per plant
Seed set 3-1	Seed Set
Seed set 3-2	Seed Set
Seed set 3-3	Seed Set
Seed weight 29-1	Seed weight per plant
Seed weight 29-2	Seed weight per plant
Seed weight 29-3	Seed weight per plant
Seed weight 29-4	Seed weight per plant
Seed weight 29-5	Seed weight per plant
Seed weight per plant 3-1	Seed weight per plant
Seed weight per plant 3-2	Seed weight per plant
