TaxonID	3847
MappingPopulation	PI171451_x_Hwaeomputkong
Title	QTL Mapping for Major Agronomic Traits across Two Years in Soybean (Glycine max L. Merr.)
Branching 2-1	Branching
Plant height 31-1	Plant Height
Plant height 31-2	Plant Height
Pod maturity 26-1	R8 Full Maturity
Pod maturity 26-2	R8 Full Maturity
Pod maturity 26-3	R8 Full Maturity
Reproductive stage length 7-1	Reproductive stage length
Reproductive stage length 7-2	Reproductive stage length
Reproductive stage length 7-3	Reproductive stage length
Reproductive stage length 7-4	Reproductive stage length
Reproductive stage length 7-5	Reproductive stage length
Seed fill 5-1	Seed filling period
Seed weight 32-1	Seed weight per plant
Seed weight 32-2	Seed weight per plant
Seed weight 32-3	Seed weight per plant
