TaxonID	3847
MappingPopulation	PI437654_x_Essex
Title	QTL, additive and epistatic effects for SCN resistance in PI 437654
SCN 39-1	Reaction to Heterodera glycines
SCN 39-10	Reaction to Heterodera glycines
SCN 39-11	Reaction to Heterodera glycines
SCN 39-12	Reaction to Heterodera glycines
SCN 39-2	Reaction to Heterodera glycines
SCN 39-3	Reaction to Heterodera glycines
SCN 39-4	Reaction to Heterodera glycines
SCN 39-5	Reaction to Heterodera glycines
SCN 39-6	Reaction to Heterodera glycines
SCN 39-7	Reaction to Heterodera glycines
SCN 39-8	Reaction to Heterodera glycines
SCN 39-9	Reaction to Heterodera glycines
