TaxonID	3847
MappingPopulation	Misuzudaizu_x_MoshidouGong503(MG503)
Title	QTL analysis of flooding tolerance in soybean at an early vegetative growth stage
Flood tolerance 4-1	Flooding Tolerance
Flood tolerance 4-10	Flooding Tolerance
Flood tolerance 4-11	Flooding Tolerance
Flood tolerance 4-12	Flooding Tolerance
Flood tolerance 4-13	Flooding Tolerance
Flood tolerance 4-14	Flooding Tolerance
Flood tolerance 4-2	Flooding Tolerance
Flood tolerance 4-3	Flooding Tolerance
Flood tolerance 4-4	Flooding Tolerance
Flood tolerance 4-5	Flooding Tolerance
Flood tolerance 4-6	Flooding Tolerance
Flood tolerance 4-7	Flooding Tolerance
Flood tolerance 4-8	Flooding Tolerance
Flood tolerance 4-9	Flooding Tolerance
