TaxonID	3847
MappingPopulation	Hefeng25_x_Conrad
Title	QTL analysis of soybean seed weight across multi-genetic backgrounds and environments
Seed weight 34-1	Seed weight per plant
Seed weight 34-10	Seed weight per plant
Seed weight 34-11	Seed weight per plant
Seed weight 34-12	Seed weight per plant
Seed weight 34-13	Seed weight per plant
Seed weight 34-14	Seed weight per plant
Seed weight 34-15	Seed weight per plant
Seed weight 34-16	Seed weight per plant
Seed weight 34-17	Seed weight per plant
Seed weight 34-18	Seed weight per plant
Seed weight 34-2	Seed weight per plant
Seed weight 34-3	Seed weight per plant
Seed weight 34-4	Seed weight per plant
Seed weight 34-5	Seed weight per plant
Seed weight 34-6	Seed weight per plant
Seed weight 34-7	Seed weight per plant
Seed weight 34-8	Seed weight per plant
Seed weight 34-9	Seed weight per plant
Seed weight 35-1	Seed weight per plant
Seed weight 35-10	Seed weight per plant
Seed weight 35-11	Seed weight per plant
Seed weight 35-2	Seed weight per plant
Seed weight 35-3	Seed weight per plant
Seed weight 35-4	Seed weight per plant
Seed weight 35-5	Seed weight per plant
Seed weight 35-6	Seed weight per plant
Seed weight 35-7	Seed weight per plant
Seed weight 35-8	Seed weight per plant
Seed weight 35-9	Seed weight per plant
Seed weight 36-1	Seed weight per plant
Seed weight 36-10	Seed weight per plant
Seed weight 36-11	Seed weight per plant
Seed weight 36-12	Seed weight per plant
Seed weight 36-13	Seed weight per plant
Seed weight 36-14	Seed weight per plant
Seed weight 36-15	Seed weight per plant
Seed weight 36-16	Seed weight per plant
Seed weight 36-17	Seed weight per plant
Seed weight 36-2	Seed weight per plant
Seed weight 36-3	Seed weight per plant
Seed weight 36-4	Seed weight per plant
Seed weight 36-5	Seed weight per plant
Seed weight 36-6	Seed weight per plant
Seed weight 36-7	Seed weight per plant
Seed weight 36-8	Seed weight per plant
Seed weight 36-9	Seed weight per plant
