TaxonID	3847
MappingPopulation	KefengNo.1_x_Nannong1138-2
Title	QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
First flower 12-1	First flower
First flower 12-2	First flower
First flower 12-3	First flower
First flower 12-4	First flower
First flower 12-5	First flower
First flower 12-6	First flower
First flower 12-7	First flower
First flower 12-8	First flower
Lodging 18-1	Lodging
Lodging 18-2	Lodging
Lodging 18-3	Lodging
Lodging 18-4	Lodging
Lodging 18-5	Lodging
Lodging 18-6	Lodging
Lodging 18-7	Lodging
Lodging 18-8	Lodging
Node number 2-1	Root nodule number
Node number 2-10	Root nodule number
Node number 2-2	Root nodule number
Node number 2-3	Root nodule number
Node number 2-4	Root nodule number
Node number 2-5	Root nodule number
Node number 2-6	Root nodule number
Node number 2-7	Root nodule number
Node number 2-8	Root nodule number
Node number 2-9	Root nodule number
Plant height 21-1	Plant Height
Plant height 21-2	Plant Height
Plant height 21-3	Plant Height
Plant height 21-4	Plant Height
Plant height 21-5	Plant Height
Plant height 21-6	Plant Height
Plant height 21-7	Plant Height
Plant height 21-8	Plant Height
Pod maturity 18-1	R8 Full Maturity
Pod maturity 18-10	R8 Full Maturity
Pod maturity 18-11	R8 Full Maturity
Pod maturity 18-2	R8 Full Maturity
Pod maturity 18-3	R8 Full Maturity
Pod maturity 18-4	R8 Full Maturity
Pod maturity 18-5	R8 Full Maturity
Pod maturity 18-6	R8 Full Maturity
Pod maturity 18-7	R8 Full Maturity
Pod maturity 18-8	R8 Full Maturity
Pod maturity 18-9	R8 Full Maturity
Pods per node 2-1	Pods Per Node
Pods per node 2-2	Pods Per Node
Pods per node 2-3	Pods Per Node
Pods per node 2-4	Pods Per Node
Pods per node 2-5	Pods Per Node
Pods per node 2-6	Pods Per Node
Seed oil 26-1	Seed oil content
Seed protein 32-1	Seed protein content
Seed weight 22-1	Seed weight per plant
Seed weight 22-2	Seed weight per plant
Seed weight 22-3	Seed weight per plant
Seed weight 22-4	Seed weight per plant
Seed yield 19-1	Seed yield
Seed yield 19-2	Seed yield
Seed yield 19-3	Seed yield
Seed yield 19-4	Seed yield
Seed yield 19-5	Seed yield
Seed yield 19-6	Seed yield
Seed yield 19-7	Seed yield
