TaxonID	3847
MappingPopulation	Keunolkong_x_Iksan10
Title	Quantitative Trait Loci Associated with Oligosaccharide and Sucrose Contents on Soybean (Glycine max L.)
Seed oligosaccharide 1-1	Seed soluble oligosaccharides
Seed oligosaccharide 1-2	Seed soluble oligosaccharides
Seed oligosaccharide 1-3	Seed soluble oligosaccharides
Seed oligosaccharide 1-4	Seed soluble oligosaccharides
Seed oligosaccharide 1-5	Seed soluble oligosaccharides
Seed oligosaccharide 1-6	Seed soluble oligosaccharides
Seed oligosaccharide 1-7	Seed soluble oligosaccharides
Seed oligosaccharide 1-8	Seed soluble oligosaccharides
Seed sucrose 2-1	Seed sucrose content
Seed sucrose 2-10	Seed sucrose content
Seed sucrose 2-11	Seed sucrose content
Seed sucrose 2-2	Seed sucrose content
Seed sucrose 2-3	Seed sucrose content
Seed sucrose 2-4	Seed sucrose content
Seed sucrose 2-5	Seed sucrose content
Seed sucrose 2-6	Seed sucrose content
Seed sucrose 2-7	Seed sucrose content
Seed sucrose 2-8	Seed sucrose content
Seed sucrose 2-9	Seed sucrose content
