TaxonID	3847
MappingPopulation	N87-984-16_x_TN93-99
Title	Quantitative Trait Loci controlling sulfur containing amino acids methionine and cysteine, in soybean seeds
Seed Cys 2-1	Seed cysteine content
Seed Cys 2-2	Seed cysteine content
Seed Cys 2-3	Seed cysteine content
Seed Cys 2-4	Seed cysteine content
Seed Met 2-1	Seed methionine content
Seed Met 2-2	Seed methionine content
Seed Met 2-3	Seed methionine content
Seed Met plus Cys 1-1	Seed methionine and cysteine content
Seed Met plus Cys 1-2	Seed methionine and cysteine content
Seed Met plus Cys 1-3	Seed methionine and cysteine content
