TaxonID	3847
MappingPopulation	Charleston_x_Dongong594
Title	Quantitative trait locus (QTL) analysis of pod related traits in different environments in soybean
Pod wall to Pod weight ratio 1-1	Pod weight ratio
Pod wall to Pod weight ratio 1-2	Pod weight ratio
Pod wall to Pod weight ratio 1-3	Pod weight ratio
Pod wall to Pod weight ratio 1-4	Pod weight ratio
Pod wall to Pod weight ratio 1-5	Pod weight ratio
Pod wall to Pod weight ratio 1-6	Pod weight ratio
Pod wall weight 1-1	Pod wall weight
Pod wall weight 1-2	Pod wall weight
Pod wall weight 1-3	Pod wall weight
Pod wall weight 1-4	Pod wall weight
Pod wall weight 1-5	Pod wall weight
Pod wall weight 1-6	Pod wall weight
Pod wall width 1-1	Pod wall width
Pod wall width 1-2	Pod wall width
Pod wall width 1-3	Pod wall width
Pod wall width 1-4	Pod wall width
Pod wall width 1-5	Pod wall width
Pod wall width 1-6	Pod wall width
Pod wall width 1-7	Pod wall width
Pod wall width 1-8	Pod wall width
Pod wall width 1-9	Pod wall width
