TaxonID	3847
MappingPopulation	SD02-4-59_x_A02-381100
Title	Quantitative trait locus analysis of saturated fatty acids in a population of recombinant inbred lines of soybean
Seed oil 36-1	Seed oil content
Seed oil 36-2	Seed oil content
Seed oil 36-3	Seed oil content
Seed oil 36-4	Seed oil content
Seed oil 36-5	Seed oil content
Seed oil 36-6	Seed oil content
Seed oil 36-7	Seed oil content
Seed oil 36-8	Seed oil content
Seed oil 36-9	Seed oil content
Seed palmitic 7-1	Seed palmitic acid content
Seed palmitic 7-2	Seed palmitic acid content
Seed palmitic 7-3	Seed palmitic acid content
Seed palmitic 7-4	Seed palmitic acid content
Seed palmitic 7-5	Seed palmitic acid content
Seed palmitic 7-6	Seed palmitic acid content
Seed palmitic 7-7	Seed palmitic acid content
Seed palmitic 7-8	Seed palmitic acid content
Seed stearic 6-1	Seed stearic acid content
Seed stearic 6-2	Seed stearic acid content
Seed stearic 6-3	Seed stearic acid content
Seed stearic 6-4	Seed stearic acid content
Seed stearic 6-5	Seed stearic acid content
