TaxonID	3847
MappingPopulation	HeFeng25_x_DongnongL-5
Title	SSR- and SNP-related QTL underlying linolenic acid and other fatty acid contents in soybean seeds across multiple environments
Seed linoleic 8-1	Seed linoleic acid content
Seed linoleic 8-2	Seed linoleic acid content
Seed linoleic 8-3	Seed linoleic acid content
Seed linoleic 8-4	Seed linoleic acid content
Seed linolenic 11-1	Seed linolenic acid content
Seed linolenic 11-2	Seed linolenic acid content
Seed linolenic 11-3	Seed linolenic acid content
Seed linolenic 11-4	Seed linolenic acid content
Seed linolenic 11-5	Seed linolenic acid content
Seed linolenic 11-6	Seed linolenic acid content
Seed oleic 8-1	Seed oleic acid content
Seed oleic 8-2	Seed oleic acid content
Seed oleic 8-3	Seed oleic acid content
Seed oleic 8-4	Seed oleic acid content
Seed palmitic 8-1	Seed palmitic acid content
Seed palmitic 8-2	Seed palmitic acid content
Seed palmitic 8-3	Seed palmitic acid content
Seed palmitic 8-4	Seed palmitic acid content
Seed stearic 7-1	Seed stearic acid content
