TaxonID	3847
MappingPopulation	RG10_x_OX948
Title	Seed and agronomic QTL in low linolenic acid, lipoxygenase-free soybean (Glycine max (L.) Merrill) germplasm.
First flower 21-1	First flower
First flower 21-2	First flower
First flower 21-3	First flower
First flower 21-4	First flower
First flower 21-5	First flower
Lodging 20-1	Lodging
Lodging 20-2	Lodging
Lodging 20-3	Lodging
Lodging 20-4	Lodging
Lodging 20-5	Lodging
Lodging 20-6	Lodging
Lodging 20-7	Lodging
Plant height 23-1	Plant Height
Plant height 23-2	Plant Height
Plant height 23-3	Plant Height
Plant height 23-4	Plant Height
Plant height 23-5	Plant Height
Plant height 23-6	Plant Height
Plant height 23-7	Plant Height
Plant height 23-8	Plant Height
Pod maturity 22-1	R8 Full Maturity
Pod maturity 22-10	R8 Full Maturity
Pod maturity 22-2	R8 Full Maturity
Pod maturity 22-3	R8 Full Maturity
Pod maturity 22-4	R8 Full Maturity
Pod maturity 22-5	R8 Full Maturity
Pod maturity 22-6	R8 Full Maturity
Pod maturity 22-7	R8 Full Maturity
Pod maturity 22-8	R8 Full Maturity
Pod maturity 22-9	R8 Full Maturity
Seed linoleic 3-1	Seed linoleic acid content
Seed linoleic 3-2	Seed linoleic acid content
Seed linoleic 3-3	Seed linoleic acid content
Seed linoleic 3-4	Seed linoleic acid content
Seed linoleic 3-5	Seed linoleic acid content
Seed linolenic 3-1	Seed linolenic acid content
Seed linolenic 3-2	Seed linolenic acid content
Seed linolenic 3-3	Seed linolenic acid content
Seed oil 27-1	Seed oil content
Seed oil 27-10	Seed oil content
Seed oil 27-11	Seed oil content
Seed oil 27-12	Seed oil content
Seed oil 27-2	Seed oil content
Seed oil 27-3	Seed oil content
Seed oil 27-4	Seed oil content
Seed oil 27-5	Seed oil content
Seed oil 27-6	Seed oil content
Seed oil 27-7	Seed oil content
Seed oil 27-8	Seed oil content
Seed oil 27-9	Seed oil content
Seed oleic 3-1	Seed oleic acid content
Seed oleic 3-2	Seed oleic acid content
Seed oleic 3-3	Seed oleic acid content
Seed oleic 3-4	Seed oleic acid content
Seed palmitic 4-1	Seed palmitic acid content
Seed palmitic 4-2	Seed palmitic acid content
Seed palmitic 4-3	Seed palmitic acid content
Seed palmitic 4-4	Seed palmitic acid content
Seed palmitic 4-5	Seed palmitic acid content
Seed palmitic 4-6	Seed palmitic acid content
Seed palmitic 4-7	Seed palmitic acid content
Seed protein 26-1	Seed protein content
Seed protein 26-10	Seed protein content
Seed protein 26-11	Seed protein content
Seed protein 26-12	Seed protein content
Seed protein 26-13	Seed protein content
Seed protein 26-14	Seed protein content
Seed protein 26-2	Seed protein content
Seed protein 26-3	Seed protein content
Seed protein 26-4	Seed protein content
Seed protein 26-5	Seed protein content
Seed protein 26-6	Seed protein content
Seed protein 26-7	Seed protein content
Seed protein 26-8	Seed protein content
Seed protein 26-9	Seed protein content
Seed stearic 3-1	Seed stearic acid content
Seed stearic 3-2	Seed stearic acid content
Seed stearic 3-3	Seed stearic acid content
Seed stearic 3-4	Seed stearic acid content
Seed weight 24-1	Seed weight per plant
Seed weight 24-2	Seed weight per plant
Seed weight 24-3	Seed weight per plant
Seed weight 24-4	Seed weight per plant
Seed yield 21-1	Seed yield
Seed yield 21-10	Seed yield
Seed yield 21-2	Seed yield
Seed yield 21-3	Seed yield
Seed yield 21-4	Seed yield
Seed yield 21-5	Seed yield
Seed yield 21-6	Seed yield
Seed yield 21-7	Seed yield
Seed yield 21-8	Seed yield
Seed yield 21-9	Seed yield
