TaxonID	3847
MappingPopulation	Charleston_x_Dongnong
Title	Soybean oil content QTL mapping and integrating with meta-analysis method for mining genes
Seed oil 24-1	Seed oil content
Seed oil 24-10	Seed oil content
Seed oil 24-11	Seed oil content
Seed oil 24-12	Seed oil content
Seed oil 24-13	Seed oil content
Seed oil 24-14	Seed oil content
Seed oil 24-15	Seed oil content
Seed oil 24-16	Seed oil content
Seed oil 24-17	Seed oil content
Seed oil 24-18	Seed oil content
Seed oil 24-19	Seed oil content
Seed oil 24-2	Seed oil content
Seed oil 24-20	Seed oil content
Seed oil 24-21	Seed oil content
Seed oil 24-22	Seed oil content
Seed oil 24-23	Seed oil content
Seed oil 24-24	Seed oil content
Seed oil 24-25	Seed oil content
Seed oil 24-26	Seed oil content
Seed oil 24-27	Seed oil content
Seed oil 24-28	Seed oil content
Seed oil 24-29	Seed oil content
Seed oil 24-3	Seed oil content
Seed oil 24-30	Seed oil content
Seed oil 24-31	Seed oil content
Seed oil 24-32	Seed oil content
Seed oil 24-33	Seed oil content
Seed oil 24-34	Seed oil content
Seed oil 24-4	Seed oil content
Seed oil 24-5	Seed oil content
Seed oil 24-6	Seed oil content
Seed oil 24-7	Seed oil content
Seed oil 24-8	Seed oil content
Seed oil 24-9	Seed oil content
