TaxonID	3847
MappingPopulation	PI438489B_x_Hamilton
Title	The 'PI 438489B' by 'Hamilton' SNP-based Genetic Linkage Map of Soybean [Glycine max (L.) Merr.] Identified Quantitative Trait Loci that Underlie Seedling SDS Resistance
SDS 13-1	Reaction to Fusarium solani f sp glycines infection
SDS 13-10	Reaction to Fusarium solani f sp glycines infection
SDS 13-11	Reaction to Fusarium solani f sp glycines infection
SDS 13-12	Reaction to Fusarium solani f sp glycines infection
SDS 13-13	Reaction to Fusarium solani f sp glycines infection
SDS 13-14	Reaction to Fusarium solani f sp glycines infection
SDS 13-15	Reaction to Fusarium solani f sp glycines infection
SDS 13-2	Reaction to Fusarium solani f sp glycines infection
SDS 13-3	Reaction to Fusarium solani f sp glycines infection
SDS 13-4	Reaction to Fusarium solani f sp glycines infection
SDS 13-5	Reaction to Fusarium solani f sp glycines infection
SDS 13-6	Reaction to Fusarium solani f sp glycines infection
SDS 13-7	Reaction to Fusarium solani f sp glycines infection
SDS 13-8	Reaction to Fusarium solani f sp glycines infection
SDS 13-9	Reaction to Fusarium solani f sp glycines infection
