TaxonID	3847
MappingPopulation	Ohsuzu_x_PI595926
Journal	Theoretical Applied Genetics
Title	A major and stable QTL associated with seed weight in soybean across multiple environments and genetic backgrounds
Seed weight 50-1	Seed weight per plant
Seed weight 50-10	Seed weight per plant
Seed weight 50-11	Seed weight per plant
Seed weight 50-12	Seed weight per plant
Seed weight 50-13	Seed weight per plant
Seed weight 50-14	Seed weight per plant
Seed weight 50-15	Seed weight per plant
Seed weight 50-16	Seed weight per plant
Seed weight 50-17	Seed weight per plant
Seed weight 50-2	Seed weight per plant
Seed weight 50-3	Seed weight per plant
Seed weight 50-4	Seed weight per plant
Seed weight 50-5	Seed weight per plant
Seed weight 50-6	Seed weight per plant
Seed weight 50-7	Seed weight per plant
Seed weight 50-8	Seed weight per plant
Seed weight 50-9	Seed weight per plant
