TaxonID	3847
MappingPopulation	Essex_x_Forrest
Journal	Theoretical Applied Genetics
Title	Identification of QTL in soybean underlying resistance to herbivory by Japanese beetles (Popillia japonica, Newman)
Japanese beetle resistance 1-1	Reaction to Popilliae japnoica
Japanese beetle resistance 1-2	Reaction to Popilliae japnoica
Japanese beetle resistance 1-3	Reaction to Popilliae japnoica
Japanese beetle resistance 1-4	Reaction to Popilliae japnoica
Japanese beetle resistance 1-5	Reaction to Popilliae japnoica
Japanese beetle resistance 1-6	Reaction to Popilliae japnoica
Japanese beetle resistance 1-7	Reaction to Popilliae japnoica
Japanese beetle resistance 1-8	Reaction to Popilliae japnoica
