TaxonID	3847
MappingPopulation	93705KS4895_x_Jackson
Journal	Theoretical and Applied Genetics
Title	Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-1	Canopy wilt
Canopy wilt 3-10	Canopy wilt
Canopy wilt 3-11	Canopy wilt
Canopy wilt 3-12	Canopy wilt
Canopy wilt 3-13	Canopy wilt
Canopy wilt 3-2	Canopy wilt
Canopy wilt 3-3	Canopy wilt
Canopy wilt 3-4	Canopy wilt
Canopy wilt 3-5	Canopy wilt
Canopy wilt 3-6	Canopy wilt
Canopy wilt 3-7	Canopy wilt
Canopy wilt 3-8	Canopy wilt
Canopy wilt 3-9	Canopy wilt
Canopy wilt 4-1	Canopy wilt
Canopy wilt 4-2	Canopy wilt
Canopy wilt 4-3	Canopy wilt
Canopy wilt 4-4	Canopy wilt
Canopy wilt 4-5	Canopy wilt
Canopy wilt 4-6	Canopy wilt
Canopy wilt 4-7	Canopy wilt
Canopy wilt 5-1	Canopy wilt
Canopy wilt 5-2	Canopy wilt
Canopy wilt 5-3	Canopy wilt
Canopy wilt 5-4	Canopy wilt
Canopy wilt 6-1	Canopy wilt
Canopy wilt 6-2	Canopy wilt
Canopy wilt 6-3	Canopy wilt
Canopy wilt 6-4	Canopy wilt
