TaxonID	3847
MappingPopulation	Hutcheson_x_PI437655
Journal	Theoretical and Applied Genetics
Title	Identification and evaluation of quantitative trait loci underlying resistance to multiple HG types of soybean cyst nematode
SCN 43-1	Reaction to Heterodera glycines
SCN 43-2	Reaction to Heterodera glycines
SCN 43-3	Reaction to Heterodera glycines
SCN 43-4	Reaction to Heterodera glycines
SCN 43-5	Reaction to Heterodera glycines
SCN 43-6	Reaction to Heterodera glycines
SCN 43-7	Reaction to Heterodera glycines
SCN 43-8	Reaction to Heterodera glycines
SCN 44-1	Reaction to Heterodera glycines
SCN 44-10	Reaction to Heterodera glycines
SCN 44-11	Reaction to Heterodera glycines
SCN 44-12	Reaction to Heterodera glycines
SCN 44-13	Reaction to Heterodera glycines
SCN 44-14	Reaction to Heterodera glycines
SCN 44-15	Reaction to Heterodera glycines
SCN 44-16	Reaction to Heterodera glycines
SCN 44-17	Reaction to Heterodera glycines
SCN 44-2	Reaction to Heterodera glycines
SCN 44-3	Reaction to Heterodera glycines
SCN 44-4	Reaction to Heterodera glycines
SCN 44-5	Reaction to Heterodera glycines
SCN 44-6	Reaction to Heterodera glycines
SCN 44-7	Reaction to Heterodera glycines
SCN 44-8	Reaction to Heterodera glycines
SCN 44-9	Reaction to Heterodera glycines
