TaxonID	3847
MappingPopulation	PI483463_x_Hutcheson
Journal	Theoretical and Applied Genetics
Title	Identification of quantitative trait loci controlling linolenic acid concentration in PI483463 (Glycine soja).
Seed linolenic 12-10	Seed linolenic acid content
Seed linolenic 12-11	Seed linolenic acid content
Seed linolenic 12-12	Seed linolenic acid content
Seed linolenic 12-2	Seed linolenic acid content
Seed linolenic 12-3	Seed linolenic acid content
Seed linolenic 12-4	Seed linolenic acid content
Seed linolenic 12-5	Seed linolenic acid content
Seed linolenic 12-6	Seed linolenic acid content
Seed linolenic 12-7	Seed linolenic acid content
Seed linolenic 12-8	Seed linolenic acid content
Seed linolenic 12-9	Seed linolenic acid content
