TaxonID	3847
MappingPopulation	Iyodaizu_x_Tachinagaha
Journal	Theoretical and Applied Genetics
Title	Mapping quantitative trait loci for root development under hypoxia conditions in soybean (Glycine max L. Merr.)
Root area 2-1	Root Morphology
Root area 2-2	Root Morphology
Root area development 1-1	Root Morphology
Root area development 1-2	Root Morphology
Root diameter 1-1	Root Morphology
Root diameter 1-2	Root Morphology
Root diameter 1-3	Root Morphology
Root diameter 1-4	Root Morphology
Root diameter change 1-1	Root Morphology
Root diameter change 1-2	Root Morphology
Root diameter change 1-3	Root Morphology
Root diameter change 1-4	Root Morphology
Root length 1-1	Root Morphology
Root length 1-2	Root Morphology
Root length 1-3	Root Morphology
Root length 1-4	Root Morphology
Root length development 1-1	Root Morphology
Root length development 1-2	Root Morphology
