TaxonID	3847
MappingPopulation	Benning(PI595645)_x_Danbaekkong(PI619083)
Journal	Theoretical and Applied Genetics
Title	QTL for seed protein and amino acids in the Benning _ Danbaekkong soybean population
Seed Cys 4-1	Seed cysteine content
Seed Lys 3-1	Seed lysine content
Seed Lys 3-2	Seed lysine content
Seed Met 4-1	Seed methionine content
Seed Met 4-2	Seed methionine content
Seed Met 4-3	Seed methionine content
Seed Met 4-4	Seed methionine content
Seed Met plus Cys 2-1	Seed methionine and cysteine content
Seed Met plus Cys 2-2	Seed methionine and cysteine content
Seed protein 39-1	Seed protein content
Seed protein 39-2	Seed protein content
Seed protein 39-3	Seed protein content
Seed protein 39-4	Seed protein content
Seed Thr 3-1	Seed threonine content
Seed Thr 3-2	Seed threonine content
Seed Thr 3-3	Seed threonine content
Seed Thr 3-4	Seed threonine content
