TaxonID	3847
MappingPopulation	Peking_x_Tamahomare
Title	Transgressive segregation of isoflavone contents under the control of four QTLs in a cross between distantly related soybean varieties
Seed daidzein 8-1	Seed daidzein content
Seed daidzein 8-2	Seed daidzein content
Seed daidzein 8-3	Seed daidzein content
Seed daidzein 8-4	Seed daidzein content
Seed daidzein 8-5	Seed daidzein content
Seed daidzein 8-6	Seed daidzein content
Seed daidzein 8-7	Seed daidzein content
Seed daidzein 8-8	Seed daidzein content
Seed genistein 8-1	Seed genistein content
Seed genistein 8-2	Seed genistein content
Seed genistein 8-3	Seed genistein content
Seed genistein 8-4	Seed genistein content
Seed genistein 8-5	Seed genistein content
Seed genistein 8-6	Seed genistein content
Seed genistein 8-7	Seed genistein content
Seed genistein 8-8	Seed genistein content
Seed glycitein 8-1	Seed glycitein content
Seed glycitein 8-10	Seed glycitein content
Seed glycitein 8-11	Seed glycitein content
Seed glycitein 8-12	Seed glycitein content
Seed glycitein 8-13	Seed glycitein content
Seed glycitein 8-2	Seed glycitein content
Seed glycitein 8-3	Seed glycitein content
Seed glycitein 8-4	Seed glycitein content
Seed glycitein 8-5	Seed glycitein content
Seed glycitein 8-6	Seed glycitein content
Seed glycitein 8-7	Seed glycitein content
Seed glycitein 8-8	Seed glycitein content
Seed glycitein 8-9	Seed glycitein content
Seed isoflavone 7-1	Seed isoflavone content
Seed isoflavone 7-10	Seed isoflavone content
Seed isoflavone 7-11	Seed isoflavone content
Seed isoflavone 7-2	Seed isoflavone content
Seed isoflavone 7-3	Seed isoflavone content
Seed isoflavone 7-4	Seed isoflavone content
Seed isoflavone 7-5	Seed isoflavone content
Seed isoflavone 7-6	Seed isoflavone content
Seed isoflavone 7-7	Seed isoflavone content
Seed isoflavone 7-8	Seed isoflavone content
Seed isoflavone 7-9	Seed isoflavone content
