#Genetic Marker	Linkage Group	Position
SSR14-1341	Consensus40_B2	71.03
AAAACT267	GmAFLP-NAU_A	0.00
B030_2	GmAFLP-NAU_A	12.39
A081_2	GmAFLP-NAU_A	15.38
AACAGT207	GmAFLP-NAU_A	19.89
A085_1	GmAFLP-NAU_A	193.75
AP-17a	GmAFLP-NAU_A	203.54
PHP02302a	GmAFLP-NAU_A	215.10
PHP02340a	GmAFLP-NAU_A	222.52
ACTACT143	GmAFLP-NAU_A	227.85
ACAACT115	GmAFLP-NAU_A	230.00
AACAGT114	GmAFLP-NAU_A	239.47
ACAACT400	GmAFLP-NAU_A	243.59
ACAAAC110	GmAFLP-NAU_A	245.34
SAC3_1	GmAFLP-NAU_A	251.15
ACGATA75	GmAFLP-NAU_A	256.59
AACATC90	GmAFLP-NAU_A	257.74
AACATC172	GmAFLP-NAU_A	257.78
AGGAGA152	GmAFLP-NAU_A	257.82
AAAACA80	GmAFLP-NAU_A	264.12
PHP03468b	GmAFLP-NAU_A	270.02
ACTAAT370	GmAFLP-NAU_A	273.88
ACTACT315	GmAFLP-NAU_A	275.26
AACAGC225	GmAFLP-NAU_A	275.30
ACGACC260	GmAFLP-NAU_A	275.34
AAGAGC138	GmAFLP-NAU_A	276.71
ACTAAT425	GmAFLP-NAU_A	276.75
AAAACA298	GmAFLP-NAU_A	276.79
AAAACT305	GmAFLP-NAU_A	281.01
ACGAAT340	GmAFLP-NAU_A	284.28
AAAACT300	GmAFLP-NAU_A	285.88
AACACT159	GmAFLP-NAU_A	285.92
ACGAAT345	GmAFLP-NAU_A	285.96
AGGACT44	GmAFLP-NAU_A	286.00
PHP03506a	GmAFLP-NAU_A	287.48
PHP05356a	GmAFLP-NAU_A	290.56
AACATG305	GmAFLP-NAU_A	294.64
AAGACG63	GmAFLP-NAU_A	294.68
AACATT154	GmAFLP-NAU_A	296.40
ACGAGA360	GmAFLP-NAU_A	299.00
ACGACT325	GmAFLP-NAU_A	300.43
ACTAAC157	GmAFLP-NAU_A	301.18
ACGAAA360	GmAFLP-NAU_A	302.46
A690_1	GmAFLP-NAU_A	307.99
AGGATT145	GmAFLP-NAU_A	319.57
AGGAAC250	GmAFLP-NAU_A	319.61
AAGAGG98	GmAFLP-NAU_A	319.65
ACCACA175	GmAFLP-NAU_A	319.69
AACAGT101	GmAFLP-NAU_A	319.81
K349_1	GmAFLP-NAU_A	327.92
AGGACC350	GmAFLP-NAU_A	330.90
A505_1	GmAFLP-NAU_A	332.91
AAAAGA118	GmAFLP-NAU_A	339.86
PHP05180b	GmAFLP-NAU_A	36.03
A725_3	GmAFLP-NAU_A	36.07
ACGAGT113	GmAFLP-NAU_A	36.11
ACGAAT228	GmAFLP-NAU_A	36.15
AAAAAC285	GmAFLP-NAU_A	361.20
ACTAAC121	GmAFLP-NAU_A	362.38
AP-17c	GmAFLP-NAU_A	382.16
UBC407a	GmAFLP-NAU_A	41.20
ACCAGA75	GmAFLP-NAU_A	59.02
ACTAGA67	GmAFLP-NAU_A	7.02
PHP02327a	GmAFLP-NAU_B	0.00
PHP02335a	GmAFLP-NAU_B	11.78
AGGAGT240	GmAFLP-NAU_B	127.83
AACATT177	GmAFLP-NAU_B	136.87
AACACA77	GmAFLP-NAU_B	14.31
AGGATC180	GmAFLP-NAU_B	142.41
AGGACC240	GmAFLP-NAU_B	142.45
PHP02309a	GmAFLP-NAU_B	143.65
AGGATT175	GmAFLP-NAU_B	143.69
AAGAGC75	GmAFLP-NAU_B	145.36
AAAAGA280	GmAFLP-NAU_B	146.19
ACTAAA260	GmAFLP-NAU_B	148.08
ACTAAG295	GmAFLP-NAU_B	149.97
A333_1	GmAFLP-NAU_B	15.53
A808_3	GmAFLP-NAU_B	150.59
AAAAAC210	GmAFLP-NAU_B	152.78
AGGAGT70	GmAFLP-NAU_B	155.00
A593_1	GmAFLP-NAU_B	166.14
A516_1	GmAFLP-NAU_B	169.27
T028_1	GmAFLP-NAU_B	17.16
AACAGA300	GmAFLP-NAU_B	170.44
AACAGG108	GmAFLP-NAU_B	171.61
ACTATA350	GmAFLP-NAU_B	171.65
AACACA282	GmAFLP-NAU_B	222.77
AAAACT350	GmAFLP-NAU_B	227.15
ACTAAA320	GmAFLP-NAU_B	230.81
ACGACA79	GmAFLP-NAU_B	284.59
AAGAAG95	GmAFLP-NAU_B	285.86
ACTATA140	GmAFLP-NAU_B	285.90
ACTACT158	GmAFLP-NAU_B	286.83
AAAACT192	GmAFLP-NAU_B	286.91
AAAAGA205	GmAFLP-NAU_B	286.95
AAAAGT280	GmAFLP-NAU_B	286.99
ACCAGA410	GmAFLP-NAU_B	287.03
AGGACT215	GmAFLP-NAU_B	287.96
AACACC182	GmAFLP-NAU_B	288.90
AACACA450	GmAFLP-NAU_B	288.94
AAAAAC148	GmAFLP-NAU_B	289.87
ACTAAC209	GmAFLP-NAU_B	289.91
ACTAAT198	GmAFLP-NAU_B	29.95
AAAACG233	GmAFLP-NAU_B	291.59
AAAACA230	GmAFLP-NAU_B	291.73
PHP02375a	GmAFLP-NAU_B	291.77
AGGAGA142	GmAFLP-NAU_B	296.45
ACAAGT120	GmAFLP-NAU_B	299.75
A588_1	GmAFLP-NAU_B	31.20
AGGATC207	GmAFLP-NAU_B	31.24
ACAACA210	GmAFLP-NAU_B	32.42
ACTAAA204	GmAFLP-NAU_B	54.67
A847_1	GmAFLP-NAU_B	64.40
PHP02332b	GmAFLP-NAU_B	70.62
AAAACG76	GmAFLP-NAU_C	0.00
A078_1	GmAFLP-NAU_C	12.08
AACACA290	GmAFLP-NAU_C	141.15
AACACT350	GmAFLP-NAU_C	143.91
AACATC213	GmAFLP-NAU_C	144.59
PHP02298a	GmAFLP-NAU_C	145.23
R092_3	GmAFLP-NAU_C	150.37
ACGAAT195	GmAFLP-NAU_C	155.45
A757_2	GmAFLP-NAU_C	156.54
AAGAGT182	GmAFLP-NAU_C	163.12
AAAAGT125	GmAFLP-NAU_C	163.16
AAGACT245	GmAFLP-NAU_C	163.20
AAGAAG110	GmAFLP-NAU_C	163.24
PHP02398a	GmAFLP-NAU_C	164.12
ACAACC102	GmAFLP-NAU_C	169.29
AAGACT120	GmAFLP-NAU_C	169.37
AGGATG109	GmAFLP-NAU_C	169.41
AAAACT170	GmAFLP-NAU_C	170.25
PHP03510a	GmAFLP-NAU_C	177.47
ACGAAT370	GmAFLP-NAU_C	177.88
ACGAGA248	GmAFLP-NAU_C	178.29
ACGAGT315	GmAFLP-NAU_C	179.53
ACTAGG440	GmAFLP-NAU_C	182.02
ACTAGA135	GmAFLP-NAU_C	182.43
PHP02304a	GmAFLP-NAU_C	182.96
ACAACT98	GmAFLP-NAU_C	183.20
AGGAAG245	GmAFLP-NAU_C	183.44
AAGAGT250	GmAFLP-NAU_C	187.38
A748_1	GmAFLP-NAU_C	188.86
PHP02390a	GmAFLP-NAU_C	190.85
AGGACA138	GmAFLP-NAU_C	190.89
AACATC260	GmAFLP-NAU_C	192.58
AACAGT63	GmAFLP-NAU_C	192.62
ACTAAA100	GmAFLP-NAU_C	193.46
ACTAGA92	GmAFLP-NAU_C	195.28
PHP02364a	GmAFLP-NAU_C	206.40
ACGAAA98	GmAFLP-NAU_C	209.01
PHP03489a	GmAFLP-NAU_C	220.11
PHP03473a	GmAFLP-NAU_C	23.74
AACACC216	GmAFLP-NAU_C	5.28
ACTATG268	GmAFLP-NAU_D	0.00
ACTATA264	GmAFLP-NAU_D	1.26
AAAAGC195	GmAFLP-NAU_D	100.43
PHP02291a	GmAFLP-NAU_D	104.52
AACACT375	GmAFLP-NAU_D	11.49
A398_1	GmAFLP-NAU_D	23.63
PHP03484b	GmAFLP-NAU_D	415.22
ACGAGT142	GmAFLP-NAU_D	419.26
AACAGA193	GmAFLP-NAU_D	427.12
ACAAGT114	GmAFLP-NAU_D	43.43
AGGAAG190	GmAFLP-NAU_D	443.44
AGGACC122	GmAFLP-NAU_D	443.48
K411_1	GmAFLP-NAU_D	446.50
AAAAAG145	GmAFLP-NAU_D	45.35
AACACC141	GmAFLP-NAU_D	47.88
AACACT141	GmAFLP-NAU_D	48.71
ACAACG94	GmAFLP-NAU_D	5.32
AGGATG101	GmAFLP-NAU_D	50.38
ACTAAA68	GmAFLP-NAU_D	53.80
AAGAGT85	GmAFLP-NAU_D	59.06
PHP02313a	GmAFLP-NAU_D	62.49
AACAGT325	GmAFLP-NAU_D	66.42
AAGAGT260	GmAFLP-NAU_D	67.87
ACGAGG260	GmAFLP-NAU_D	68.43
ACTAAA350	GmAFLP-NAU_D	7.29
A947_1	GmAFLP-NAU_D	71.27
ACGACC188	GmAFLP-NAU_D	75.69
PHP03474a	GmAFLP-NAU_D	757.20
ACTAAA450	GmAFLP-NAU_D	760.91
A095_1	GmAFLP-NAU_D	763.34
AGGAGA310	GmAFLP-NAU_D	770.93
A611_1	GmAFLP-NAU_D	775.39
PHP03491a	GmAFLP-NAU_D	777.29
AAAACA111	GmAFLP-NAU_D	777.33
AAGAGC260	GmAFLP-NAU_D	781.50
AGGACT46	GmAFLP-NAU_D	798.98
ACTAAG340	GmAFLP-NAU_D	8.25
UBC582b	GmAFLP-NAU_D	827.78
K226_1	GmAFLP-NAU_D	83.33
AAAAGC162	GmAFLP-NAU_D	86.44
AACATA204	GmAFLP-NAU_D	88.19
ACAACG96	GmAFLP-NAU_D	9.21
AAAACG182	GmAFLP-NAU_D	90.23
AACAGT345	GmAFLP-NAU_D	91.18
ACTAGT220	GmAFLP-NAU_D	93.10
ACTATG93	GmAFLP-NAU_D	95.58
ACCACC83	GmAFLP-NAU_D	95.62
ACAAGT170	GmAFLP-NAU_D	95.82
AAAAAG200	GmAFLP-NAU_D	97.13
ACGAAG380	GmAFLP-NAU_D	97.87
ACTAAT240	GmAFLP-NAU_D	97.91
ACAAGG82	GmAFLP-NAU_D	98.63
AACACC218	GmAFLP-NAU_D	99.00
ACAAGG63	GmAFLP-NAU_D	99.04
AGGAGT160	GmAFLP-NAU_D	99.41
AAAAGT129	GmAFLP-NAU_D	99.45
AAGAGG350	GmAFLP-NAU_D	99.49
PHP02288a	GmAFLP-NAU_D	99.86
UBC388b	GmAFLP-NAU_E	0.00
T183_1	GmAFLP-NAU_E	10.56
AACAGA172	GmAFLP-NAU_E	115.13
A646_1	GmAFLP-NAU_E	122.16
ACTACC77	GmAFLP-NAU_E	13.29
AAGACG65	GmAFLP-NAU_E	13.36
ACGAAA105	GmAFLP-NAU_E	131.75
ACCAGC226	GmAFLP-NAU_E	135.58
AAAAGC140	GmAFLP-NAU_E	140.20
AAGACG160	GmAFLP-NAU_E	141.54
AGGAGA192	GmAFLP-NAU_E	142.88
AGGAGA165	GmAFLP-NAU_E	142.92
ACTATG500	GmAFLP-NAU_E	146.81
ACTAAT255	GmAFLP-NAU_E	160.81
AGGAAC175	GmAFLP-NAU_E	160.85
ACTAGT250	GmAFLP-NAU_E	160.89
PHP02385a	GmAFLP-NAU_E	171.79
AAAAGG124	GmAFLP-NAU_E	188.39
AAAAAC88	GmAFLP-NAU_E	191.42
AGGACT126	GmAFLP-NAU_E	191.46
ACAAGC128	GmAFLP-NAU_E	191.50
AAAACA184	GmAFLP-NAU_E	191.54
AAAAAC115	GmAFLP-NAU_E	191.94
ACTATG84	GmAFLP-NAU_E	192.34
AGGATA370	GmAFLP-NAU_E	192.74
AAAACT256	GmAFLP-NAU_E	193.97
AAAACG255	GmAFLP-NAU_E	205.99
PHP03468a	GmAFLP-NAU_E	44.54
AAGAGT220	GmAFLP-NAU_E	44.58
ACTAAA295	GmAFLP-NAU_E	54.69
AACATC278	GmAFLP-NAU_E	64.74
PHP02391a	GmAFLP-NAU_E	70.71
AAAACT290	GmAFLP-NAU_E	79.23
ACGAGA271	GmAFLP-NAU_E	82.82
AAAAGA70	GmAFLP-NAU_F	0.00
