#QTLName	Parent_1	Parent_2	TraitName	Journal	Year	Volume	Page	Title
Al tolerance 1-1	Young	PI229358	Aluminum Tolerance	Crop Science	2000	40	538-545	Aluminum tolerance associated with quantitative trait loci derived from soybean PI 416937 in hydroponics
Al tolerance 1-2	Young	PI229358	Aluminum Tolerance	Crop Science	2000	40	538-545	Aluminum tolerance associated with quantitative trait loci derived from soybean PI 416937 in hydroponics
Al tolerance 1-3	Young	PI229358	Aluminum Tolerance	Crop Science	2000	40	538-545	Aluminum tolerance associated with quantitative trait loci derived from soybean PI 416937 in hydroponics
Al tolerance 1-4	Young	PI229358	Aluminum Tolerance	Crop Science	2000	40	538-545	Aluminum tolerance associated with quantitative trait loci derived from soybean PI 416937 in hydroponics
Al tolerance 1-5	Young	PI229358	Aluminum Tolerance	Crop Science	2000	40	538-545	Aluminum tolerance associated with quantitative trait loci derived from soybean PI 416937 in hydroponics
Al tolerance 1-6	Young	PI229358	Aluminum Tolerance	Crop Science	2000	40	538-545	Aluminum tolerance associated with quantitative trait loci derived from soybean PI 416937 in hydroponics
Al tolerance 2-1	Essex	Forrest	Aluminum Tolerance					The genetic control of tolerance t aluminum toxicity in the Essex by Forrest recombinant inbred line population
Al tolerance 2-2	Essex	Forrest	Aluminum Tolerance					The genetic control of tolerance t aluminum toxicity in the Essex by Forrest recombinant inbred line population
Al tolerance 2-3	Essex	Forrest	Aluminum Tolerance					The genetic control of tolerance t aluminum toxicity in the Essex by Forrest recombinant inbred line population
Al tolerance 3-1	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-2	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-3	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-4	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-5	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
