#QTLName	OntologyIdentifier
Al tolerance 1-1	TO:0000354
Al tolerance 1-2	TO:0000354
Al tolerance 1-3	TO:0000354
Al tolerance 1-4	TO:0000354
Al tolerance 1-5	TO:0000354
Al tolerance 1-6	TO:0000354
Al tolerance 2-1	TO:0000354
Al tolerance 2-2	TO:0000354
Al tolerance 2-3	TO:0000354
Al tolerance 3-1	TO:0000354
Al tolerance 3-2	TO:0000354
Al tolerance 3-3	TO:0000354
Al tolerance 3-4	TO:0000354
Al tolerance 3-5	TO:0000354
Al tolerance 3-6	TO:0000354
Al tolerance 3-7	TO:0000354
Al tolerance 3-8	TO:0000354
Al tolerance 3-9	TO:0000354
Asian Soybean Rust 1-1	TO:0000439
Asian Soybean Rust 2-1	TO:0000439
Asian Soybean Rust 2-2	TO:0000439
Asian Soybean Rust 2-3	TO:0000439
Asian Soybean Rust 2-4	TO:0000439
Branching 1-1	PO:0025073
Branching 1-1	TO:0002639
Branching 1-2	PO:0025073
Branching 1-2	TO:0002639
Branching 1-3	PO:0025073
Branching 1-3	TO:0002639
Branching 1-4	PO:0025073
Branching 1-4	TO:0002639
Branching 1-5	PO:0025073
Branching 1-5	TO:0002639
Branching 1-6	PO:0025073
Branching 1-6	TO:0002639
Branching 1-7	PO:0025073
Branching 1-7	TO:0002639
Branching 2-1	PO:0025073
Branching 2-1	TO:0002639
Branching 3-1	PO:0025073
Branching 3-1	TO:0002639
Branching 3-2	PO:0025073
Branching 3-2	TO:0002639
Branching 3-3	PO:0025073
Branching 3-3	TO:0002639
Branching 3-4	PO:0025073
Branching 3-4	TO:0002639
Branching 3-5	PO:0025073
Branching 3-5	TO:0002639
Branching 4-1	PO:0025073
Branching 4-1	TO:0002639
Branching 4-2	PO:0025073
Branching 4-2	TO:0002639
Branching 4-3	PO:0025073
Branching 4-3	TO:0002639
Branching 4-4	PO:0025073
Branching 4-4	TO:0002639
BSR 1-1	TO:0000439
BSR 1-2	TO:0000439
BSR 2-1	TO:0000439
BSR 3-1	TO:0000439
BSR 4-1	TO:0000439
BSR 5-1	TO:0000439
BSR 5-2	TO:0000439
BSR 6-1	TO:0000439
BSR 6-10	TO:0000439
BSR 6-2	TO:0000439
BSR 6-3	TO:0000439
BSR 6-4	TO:0000439
BSR 6-5	TO:0000439
BSR 6-6	TO:0000439
BSR 6-7	TO:0000439
