QTLID	QTLName	LocusName
1	Seedling, abnormal 1-1	Bng119_2
2	Seedling, abnormal 1-2	K455_1
3	Seedling, abnormal 1-3	K418_1
4	Al tolerance 1-1	mO103_1
5	Al tolerance 1-2	cr207_1
6	Al tolerance 1-3	A847_1
7	Al tolerance 1-4	K644_1
8	Al tolerance 1-5	B122_1
9	Al tolerance 1-6	EV2_1
10	BSR 1-1	K375_1
11	BSR 1-2	B122_1
11	BSR 1-2	RGA3
12	BSR 2-1	BSR3.sp1
12	BSR 2-1	K375.sp1
13	BSR 3-1	Satt215
13	BSR 3-1	Satt431
14	BSR 4-1	Satt244
14	BSR 4-1	Satt431
15	Chlorimuron sensitivity 1-1	cr168_1
16	Chlorimuron sensitivity 1-2	cr274_1
17	Chlorimuron sensitivity 1-3	A454_1
18	Chlorimuron sensitivity 1-4	EV6_1
19	Chlorimuron sensitivity 1-5	A132_4
20	Chlorimuron sensitivity 1-6	BLT015_2
21	Chlorimuron sensitivity 1-7	A106_1
22	Chlorimuron sensitivity 1-8	A264_1
23	Chlorimuron sensitivity 1-9	B164_1
24	Chlorimuron sensitivity 1-10	B124_2
25	Chlorimuron sensitivity 1-11	O109_1
26	Chlorimuron sensitivity 2-1	cr168_1
26	Chlorimuron sensitivity 2-1	cr274_1
27	Chlorimuron sensitivity 2-2	A132_4
27	Chlorimuron sensitivity 2-2	BLT015_2
28	Chlorimuron sensitivity 2-3	A264_1
28	Chlorimuron sensitivity 2-3	O109_1
29	Corn earworm 1-1	A584_3
29	Corn earworm 1-1	A946_2
30	Corn earworm 1-2	A131_2
30	Corn earworm 1-2	R029_1
31	Corn earworm 1-3	A808_2
31	Corn earworm 1-3	Bng047_1
32	Corn earworm 2-1	A757_1
32	Corn earworm 2-1	B212_1
33	Corn earworm 2-2	A131_2
33	Corn earworm 2-2	R249_2
34	Corn earworm 2-3	A226_1
34	Corn earworm 2-3	A584_3
35	Corn earworm 3-1	A132_6
35	Corn earworm 3-1	A670_3
36	Corn earworm 3-2	A131_2
36	Corn earworm 3-2	R249_2
37	Corn earworm 4-1	A226_1
37	Corn earworm 4-1	A584_3
38	Corn earworm 5-1	A343_1
38	Corn earworm 5-1	K411_2
39	Corn earworm 5-2	A083_3
