MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
+--------------------------------------+-------------+
| Seedling, abnormal 1-1               | TO:0000357  |
| Seedling, abnormal 1-2               | TO:0000357  |
| Seedling, abnormal 1-3               | TO:0000357  |
| Al tolerance 1-1                     | TO:0000080  |
| Al tolerance 1-2                     | TO:0000080  |
| Al tolerance 1-3                     | TO:0000080  |
| Al tolerance 1-4                     | TO:0000080  |
| Al tolerance 1-5                     | TO:0000080  |
| Al tolerance 1-6                     | TO:0000080  |
| BSR 1-1                              | TO:0000439  |
| BSR 1-2                              | TO:0000439  |
| BSR 2-1                              | TO:0000439  |
| BSR 3-1                              | TO:0000439  |
| BSR 4-1                              | TO:0000439  |
| Chlorimuron sensitivity 1-1          | TO:0000058  |
| Chlorimuron sensitivity 1-2          | TO:0000058  |
| Chlorimuron sensitivity 1-3          | TO:0000058  |
| Chlorimuron sensitivity 1-4          | TO:0000058  |
| Chlorimuron sensitivity 1-5          | TO:0000058  |
| Chlorimuron sensitivity 1-6          | TO:0000058  |
| Chlorimuron sensitivity 1-7          | TO:0000058  |
| Chlorimuron sensitivity 1-8          | TO:0000058  |
| Chlorimuron sensitivity 1-9          | TO:0000058  |
| Chlorimuron sensitivity 1-10         | TO:0000058  |
| Chlorimuron sensitivity 1-11         | TO:0000058  |
| Chlorimuron sensitivity 2-1          | TO:0000058  |
| Chlorimuron sensitivity 2-2          | TO:0000058  |
| Chlorimuron sensitivity 2-3          | TO:0000058  |
| Corn earworm 1-1                     | TO:0000261  |
| Corn earworm 1-2                     | TO:0000261  |
| Corn earworm 1-3                     | TO:0000261  |
| Corn earworm 2-1                     | TO:0000261  |
| Corn earworm 2-2                     | TO:0000261  |
| Corn earworm 2-3                     | TO:0000261  |
| Corn earworm 3-1                     | TO:0000261  |
| Corn earworm 3-2                     | TO:0000261  |
| Corn earworm 4-1                     | TO:0000261  |
| Corn earworm 5-1                     | TO:0000261  |
| Corn earworm 5-2                     | TO:0000261  |
| Corn earworm 6-1                     | TO:0000261  |
| Corn earworm 6-2                     | TO:0000261  |
| Corn earworm 6-3                     | TO:0000261  |
| Corn earworm 7-1                     | TO:0000261  |
| Corn earworm 7-2                     | TO:0000261  |
| Corn earworm 7-3                     | TO:0000261  |
