snp_ID	snp_name	dbSNP_ID	chromosome	gbrowse_L_flank_start_bp	gbrowse_R_flank_end_bp	snp_start_bp	snp_end_bp	coordinate_system	experiment_ID	comments	entered_by
5152	BARC-024383-04865	ss107917443	Gm05	1400905	1401517	1401213	1401214	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5153	BARC-057967-15029	ss107926227	Gm05	30139135	30139419	30139218	30139219	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5154	BARC-011851-00877	ss107914395	Gm05	30564584	30565078	30564804	30564805	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5155	BARC-058161-15150	ss107926339	Gm05	30394136	30394509	30394307	30394308	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5156	BARC-015343-01809	ss107915103	Gm05	34211494	34212099	34212070	34212071	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5157	BARC-020035-04418	ss107916527	Gm05	36446466	36447100	36446549	36446550	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5158	BARC-052833-11634	ss107923334	Gm05	37534387	37534883	37534714	37534715	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5159	BARC-065877-17469	ss107930891	Gm05	40874742	40874985	40874959	40874960	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5160	BARC-065897-17475	ss107930896	Gm05	40667396	40667662	40667456	40667457	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5161	BARC-058657-17445	ss107926596	Gm05	40507866	40508355	40508307	40508308	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5162	BARC-065929-17504	ss107930925	Gm05	40502417	40502779	40502702	40502703	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5163	BARC-058649-17393	ss107926544	Gm05	40458377	40458793	40458759	40458760	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5165	BARC-010329-00595	ss107914038	Gm08	2030122	2031044	2030400	2030401	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5166	BARC-062265-17733	ss107928905	Gm08	7963301	7963629	7963446	7963447	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5168	BARC-059631-15956	ss107927219	Gm08	9339235	9339581	9339434	9339435	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5169	BARC-028547-05945	ss107918272	Gm08	17251823	17252977	17251933	17251934	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5170	BARC-063091-18238	ss107929409	Gm08	17412064	17412445	17412088	17412089	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5171	BARC-032319-08947	ss107919001	Gm08	18172051	18172474	18172122	18172123	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5172	BARC-064001-18526	ss107929715	Gm08	18352046	18352447	18352090	18352091	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5173	BARC-055531-13360	ss107924573	Gm08	19100846	19101329	19100955	19100956	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5174	BARC-060903-16956	ss107928250	Gm08	39457554	39457894	39457664	39457665	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5175	BARC-029533-06210	ss107918470	Gm11	546789	547435	547315	547316	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5176	BARC-062361-17760	ss107928932	Gm11	5247358	5247823	5247521	5247522	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5177	BARC-061085-17035	ss107928329	Gm11	7952404	7952797	7952601	7952602	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5178	BARC-061409-17191	ss107928491	Gm11	15208156	15208648	15208289	15208290	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5179	BARC-065623-19586	ss107930676	Gm14	1620889	1621270	1621232	1621233	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5180	BARC-061557-17270	ss107928577	Gm14	1942421	1942756	1942461	1942462	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5181	BARC-059375-15776	ss107927045	Gm14	30148148	30148424	30148296	30148297	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5182	BARC-058131-15103	ss107926301	Gm14	34818365	34818799	34818499	34818500	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5183	BARC-064945-19021	ss107930113	Gm14	41715340	41715681	41715637	41715638	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5184	BARC-061125-17061	ss107928356	Gm14	42276542	42277146	42276831	42276832	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5185	BARC-065259-19300	ss107930391	Gm14	42217084	42217504	42217449	42217450	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5186	BARC-049657-09098	ss107921856	Gm14	43839180	43839626	43839325	43839326	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5187	BARC-064159-18573	ss107929764	Gm14	43839985	43840327	43840041	43840042	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5188	BARC-065655-19613	ss107930703	Gm14	46710148	46710717	46710243	46710244	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5189	BARC-016041-02044	ss107915284	Gm04	1540793	1541306	1540827	1540828	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5190	BARC-064923-19002	ss107930095	Gm04	9167854	9168213	9168082	9168083	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5191	BARC-058533-15311	ss107926499	Gm04	15780999	15781305	15781198	15781199	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5192	BARC-057765-14920	ss107926119	Gm04	17602894	17603149	17603108	17603109	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5193	BARC-062445-17793	ss107928965	Gm04	31724935	31725270	31725018	31725019	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5194	BARC-059117-15607	ss107926871	Gm04	30102200	30102549	30102491	30102492	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5195	BARC-059137-15636	ss107926900	Gm04	30773764	30774103	30774003	30774004	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5196	BARC-060475-16701	ss107927970	Gm04	27769999	27770491	27770114	27770115	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5197	BARC-059945-16236	ss107927505	Gm04	21698533	21698951	21698654	21698655	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5198	BARC-063667-18427	ss107929613	Gm04	34928548	34929037	34928703	34928704	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5199	BARC-058775-15427	ss107926691	Gm04	35970825	35971147	35971025	35971026	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5200	BARC-064973-19032	ss107930124	Gm04	37477370	37477677	37477482	37477483	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5201	BARC-059947-16237	ss107927506	Gm04	38928931	38929351	38928980	38928981	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5202	BARC-061329-17168	ss107928468	Gm04	40179432	40179826	40179684	40179685	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5203	BARC-060563-16724	ss107927993	Gm04	41996531	41996879	41996653	41996654	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5204	BARC-057227-14633	ss107925830	Gm04	49119082	49119390	49119129	49119130	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5205	BARC-014949-01930	ss107915018	Gm06	5404493	5405187	5404538	5404539	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
5206	BARC-029635-06267	ss107918520	Gm06	11311690	11312524	11312274	11312275	Glyma1.01	0	SNP from BARC OPA-4	Grant, David
