#primaryIdentifier	secondaryIdentifier	type	chromosome	start	end
AF186183		SSR	Gm07	17567660	17567861
AI856415		SSR	Gm02	11326572	11326794
AW132402		SSR	Gm08	11786768	11786918
AW277661		SSR	Gm04	21673212	21673455
AW310961		SSR	Gm16	417863	418042
AW734137		SSR	Gm18	3626442	3626636
AW756935		SSR	Gm13	41606169	41606400
AZ254740		SSR	Gm18	2399809	2400099
AZ302047		SSR	Gm01	45334959	45335187
AZ536570		SSR	Gm05	28779101	28779272
BARCSOYSSR_01_0001		potential_SSR	Gm01	29165	29186
BARCSOYSSR_01_0002		potential_SSR	Gm01	39736	39821
BARCSOYSSR_01_0003		potential_SSR	Gm01	147764	147790
BARCSOYSSR_01_0004		potential_SSR	Gm01	173978	173997
BARCSOYSSR_01_0005		potential_SSR	Gm01	174752	174805
BARCSOYSSR_01_0006		potential_SSR	Gm01	178782	178805
BARCSOYSSR_01_0007		potential_SSR	Gm01	199176	199207
BARCSOYSSR_01_0008		potential_SSR	Gm01	231927	231980
BARCSOYSSR_01_0009		potential_SSR	Gm01	251207	251228
BARCSOYSSR_01_0010		potential_SSR	Gm01	253369	253400
BARCSOYSSR_01_0011		potential_SSR	Gm01	258297	258322
BARCSOYSSR_01_0012		potential_SSR	Gm01	279090	279131
BARCSOYSSR_01_0013		potential_SSR	Gm01	281803	281822
BARCSOYSSR_01_0014		potential_SSR	Gm01	316971	317018
BARCSOYSSR_01_0015		potential_SSR	Gm01	320076	320133
BARCSOYSSR_01_0016		potential_SSR	Gm01	321747	321774
BARCSOYSSR_01_0017		potential_SSR	Gm01	339024	339061
BARCSOYSSR_01_0019		SSR	Gm01	355597	355646
BARCSOYSSR_01_0020		potential_SSR	Gm01	358131	358182
BARCSOYSSR_01_0021		potential_SSR	Gm01	405452	405471
BARCSOYSSR_01_0022		potential_SSR	Gm01	413152	413211
BARCSOYSSR_01_0023		potential_SSR	Gm01	414800	414857
BARCSOYSSR_01_0024		potential_SSR	Gm01	446339	446406
BARCSOYSSR_01_0025		potential_SSR	Gm01	458743	458778
BARCSOYSSR_01_0026		potential_SSR	Gm01	467309	467344
BARCSOYSSR_01_0027		potential_SSR	Gm01	473044	473103
BARCSOYSSR_01_0028		potential_SSR	Gm01	508988	509035
BARCSOYSSR_01_0029		potential_SSR	Gm01	536402	536434
BARCSOYSSR_01_0030		potential_SSR	Gm01	536596	536643
BARCSOYSSR_01_0031		potential_SSR	Gm01	547555	547586
BARCSOYSSR_01_0032		potential_SSR	Gm01	549179	549211
BARCSOYSSR_01_0033		potential_SSR	Gm01	570580	570625
BARCSOYSSR_01_0034		potential_SSR	Gm01	573045	573110
BARCSOYSSR_01_0035		potential_SSR	Gm01	578786	578809
BARCSOYSSR_01_0036		potential_SSR	Gm01	603077	603096
BARCSOYSSR_01_0037		potential_SSR	Gm01	676331	676386
BARCSOYSSR_01_0038		potential_SSR	Gm01	703308	703335
BARCSOYSSR_01_0039		potential_SSR	Gm01	720157	720222
BARCSOYSSR_01_0040		potential_SSR	Gm01	772700	772719
BARCSOYSSR_01_0041		potential_SSR	Gm01	783745	783766
BARCSOYSSR_01_0042		potential_SSR	Gm01	799385	799428
BARCSOYSSR_01_0043		potential_SSR	Gm01	800694	800719
BARCSOYSSR_01_0044		potential_SSR	Gm01	812931	812980
BARCSOYSSR_01_0045		potential_SSR	Gm01	813416	813445
BARCSOYSSR_01_0046		potential_SSR	Gm01	820145	820210
BARCSOYSSR_01_0047		potential_SSR	Gm01	835023	835062
BARCSOYSSR_01_0048		potential_SSR	Gm01	849156	849185
BARCSOYSSR_01_0049		potential_SSR	Gm01	886118	886181
BARCSOYSSR_01_0050		potential_SSR	Gm01	888612	888655
BARCSOYSSR_01_0051		potential_SSR	Gm01	896408	896453
BARCSOYSSR_01_0052		potential_SSR	Gm01	930242	930265
BARCSOYSSR_01_0053		potential_SSR	Gm01	930799	930822
BARCSOYSSR_01_0054		potential_SSR	Gm01	940255	940278
BARCSOYSSR_01_0055		potential_SSR	Gm01	944498	944517
BARCSOYSSR_01_0056		potential_SSR	Gm01	964917	964940
BARCSOYSSR_01_0057		potential_SSR	Gm01	978776	978815
BARCSOYSSR_01_0058		potential_SSR	Gm01	1053066	1053107
BARCSOYSSR_01_0059		potential_SSR	Gm01	1068959	1069004
BARCSOYSSR_01_0060		potential_SSR	Gm01	1112581	1112650
BARCSOYSSR_01_0062		potential_SSR	Gm01	1128752	1128775
BARCSOYSSR_01_0063		potential_SSR	Gm01	1164935	1164960
BARCSOYSSR_01_0064		potential_SSR	Gm01	1167885	1167904
BARCSOYSSR_01_0065		potential_SSR	Gm01	1168777	1168796
BARCSOYSSR_01_0066		potential_SSR	Gm01	1183210	1183251
BARCSOYSSR_01_0067		potential_SSR	Gm01	1185365	1185404
BARCSOYSSR_01_0068		potential_SSR	Gm01	1185660	1185721
BARCSOYSSR_01_0069		potential_SSR	Gm01	1191444	1191473
BARCSOYSSR_01_0070		potential_SSR	Gm01	1205297	1205320
BARCSOYSSR_01_0071		potential_SSR	Gm01	1244678	1244719
BARCSOYSSR_01_0072		potential_SSR	Gm01	1246770	1246829
BARCSOYSSR_01_0073		potential_SSR	Gm01	1250548	1250571
BARCSOYSSR_01_0074		potential_SSR	Gm01	1260766	1260809
BARCSOYSSR_01_0075		potential_SSR	Gm01	1269822	1269893
BARCSOYSSR_01_0076		potential_SSR	Gm01	1273193	1273212
BARCSOYSSR_01_0077		potential_SSR	Gm01	1298848	1298871
BARCSOYSSR_01_0078		potential_SSR	Gm01	1324057	1324098
BARCSOYSSR_01_0079		potential_SSR	Gm01	1327095	1327124
BARCSOYSSR_01_0080		potential_SSR	Gm01	1333198	1333257
BARCSOYSSR_01_0081		potential_SSR	Gm01	1333617	1333686
BARCSOYSSR_01_0082		potential_SSR	Gm01	1342599	1342624
BARCSOYSSR_01_0083		potential_SSR	Gm01	1343242	1343281
BARCSOYSSR_01_0084		potential_SSR	Gm01	1355739	1355765
BARCSOYSSR_01_0085		potential_SSR	Gm01	1358883	1358904
BARCSOYSSR_01_0086		potential_SSR	Gm01	1388510	1388537
BARCSOYSSR_01_0087		potential_SSR	Gm01	1411567	1411586
BARCSOYSSR_01_0088		SSR	Gm01	1473634	1473690
BARCSOYSSR_01_0089		potential_SSR	Gm01	1475327	1475348
BARCSOYSSR_01_0090		potential_SSR	Gm01	1506687	1506710
BARCSOYSSR_01_0091		potential_SSR	Gm01	1510455	1510482
BARCSOYSSR_01_0092		potential_SSR	Gm01	1583325	1583350
BARCSOYSSR_01_0093		potential_SSR	Gm01	1600618	1600661
BARCSOYSSR_01_0094		potential_SSR	Gm01	1608714	1608779
BARCSOYSSR_01_0095		potential_SSR	Gm01	1680991	1681028
BARCSOYSSR_01_0096		potential_SSR	Gm01	1683033	1683094
BARCSOYSSR_01_0097		potential_SSR	Gm01	1699193	1699228
BARCSOYSSR_01_0098		potential_SSR	Gm01	1711306	1711325
